"type","hole","numPoint","lat","lon"
"Pin","1","0",52.025885802589,0.22822652282265
"Target","1","1",52.025425902543,0.22920032292003
"Tee","1","0",52.024912002491,0.23271122327112
"Pin","2","0",52.026122502612,0.23333582333358
"Target","2","1",52.026136002614,0.23212892321289
"Tee","2","0",52.026180102618,0.22838762283876
"Pin","3","0",52.028767602877,0.22891322289132
"Target","3","1",52.027585002758,0.23103542310354
"Target","3","2",52.028486802849,0.2292120229212
"Tee","3","0",52.026222402622,0.23405222340522
"Pin","4","0",52.027817202782,0.22625462262546
"Target","4","1",52.027630902763,0.22801952280195
"Tee","4","0",52.029349902935,0.22868822286882
"Pin","5","0",52.026447402645,0.22465622246562
"Tee","5","0",52.02779920278,0.22565972256597
"Pin","6","0",52.030688203069,0.22222352222235
"Target","6","1",52.028629002863,0.22297592229759
"Target","6","2",52.030358803036,0.22238372223837
"Tee","6","0",52.026423102642,0.22405052240505
"Pin","7","0",52.029153702915,0.22134962213496
"Tee","7","0",52.030777303078,0.22177352217735
"Pin","8","0",52.026145002614,0.22361042236104
"Target","8","1",52.026953202695,0.22266182226618
"Tee","8","0",52.028959302896,0.2208240220824
"Pin","9","0",52.02429640243,0.22906082290608
"Target","9","1",52.024864302486,0.22648862264886
"Target","9","2",52.024392702439,0.22862792286279
"Tee","9","0",52.024838202484,0.22288052228805
"Pin","10","0",52.025564502556,0.2243430224343
"Target","10","1",52.025372802537,0.22717712271771
"Target","10","2",52.025635602564,0.22480922248092
"Tee","10","0",52.024414302441,0.23057912305791
"Pin","11","0",52.025090202509,0.22129562212956
"Tee","11","0",52.025283702528,0.22334492233449
"Pin","12","0",52.027480602748,0.21992222199222
"Target","12","1",52.026811002681,0.2202570220257
"Tee","12","0",52.024572702457,0.22078082207808
"Pin","13","0",52.030294003029,0.21794852179485
"Target","13","1",52.029137502914,0.21889532188953
"Tee","13","0",52.026874902687,0.21959012195901
"Pin","14","0",52.031430703143,0.22147292214729
"Target","14","1",52.031154403115,0.22069352206935
"Tee","14","0",52.030686403069,0.21750842175084
"Pin","15","0",52.028122302812,0.22024982202498
"Target","15","1",52.029443502944,0.22011752201175
"Tee","15","0",52.031257903126,0.22182662218266
"Pin","16","0",52.025656302566,0.22336652233665
"Target","16","1",52.025977602598,0.2224350222435
"Tee","16","0",52.027769502777,0.22019312201931
"Pin","17","0",52.027156602716,0.22900682290068
"Target","17","1",52.02619540262,0.22772252277225
"Tee","17","0",52.026039702604,0.224190022419
"Pin","18","0",52.025254002525,0.2326230232623
"Tee","18","0",52.025786802579,0.23039912303991
