"type","hole","numPoint","lat","lon"
"Pin","1","0",54.036632703663,-0.97014159701416
"Target","1","1",54.037422003742,-0.9667989966799
"Target","1","2",54.036849603685,-0.96942429694243
"Tee","1","0",54.038205003821,-0.96311169631117
"Pin","2","0",54.036458103646,-0.97631829763183
"Target","2","1",54.036555303656,-0.9750249975025
"Tee","2","0",54.036407703641,-0.9711819971182
"Pin","3","0",54.037459803746,-0.98113059811306
"Target","3","1",54.038180703818,-0.97884729788473
"Tee","3","0",54.036711903671,-0.97671069767107
"Pin","4","0",54.039681003968,-0.97772409777241
"Target","4","1",54.03939570394,-0.97934139793414
"Tee","4","0",54.037683903768,-0.98152209815221
"Pin","5","0",54.037382403738,-0.97605549760555
"Target","5","1",54.038320203832,-0.97677819767782
"Tee","5","0",54.040122904012,-0.97703739770374
"Pin","6","0",54.035013603501,-0.97633989763399
"Tee","6","0",54.036319503632,-0.97730289773029
"Pin","7","0",54.034526703453,-0.97090029709003
"Target","7","1",54.03449970345,-0.9731079973108
"Tee","7","0",54.034564503456,-0.97702659770266
"Pin","8","0",54.035861403586,-0.97177509717751
"Tee","8","0",54.034451103445,-0.97032159703216
"Pin","9","0",54.037472403747,-0.96354639635464
"Target","9","1",54.036905403691,-0.96633549663355
"Target","9","2",54.037350003735,-0.96393159639316
"Tee","9","0",54.03610170361,-0.97001019700102
"Pin","10","0",54.035259303526,-0.96213249621325
"Target","10","1",54.035883003588,-0.96119469611947
"Tee","10","0",54.038137503814,-0.96151059615106
"Pin","11","0",54.033806703381,-0.96780789678079
"Target","11","1",54.034141503414,-0.96639039663904
"Tee","11","0",54.035217003522,-0.96292359629236
"Pin","12","0",54.032088603209,-0.97575579757558
"Target","12","1",54.032084103208,-0.97293519729352
"Target","12","2",54.031732203173,-0.97502139750214
"Tee","12","0",54.033180303318,-0.96948729694873
"Pin","13","0",54.031306503131,-0.97865739786574
"Tee","13","0",54.031659303166,-0.97598889759889
"Pin","14","0",54.034644603464,-0.97960419796042
"Target","14","1",54.033387303339,-0.97980579798058
"Tee","14","0",54.031106703111,-0.97926129792613
"Pin","15","0",54.032662803266,-0.9741429974143
"Target","15","1",54.032964303296,-0.97587819758782
"Tee","15","0",54.03439800344,-0.97885629788563
"Pin","16","0",54.033892203389,-0.97013889701389
"Target","16","1",54.033851703385,-0.97147269714727
"Tee","16","0",54.033181203318,-0.97507719750772
"Pin","17","0",54.036347403635,-0.96379569637957
"Target","17","1",54.035084703508,-0.96521139652114
"Target","17","2",54.035886603589,-0.96352479635248
"Tee","17","0",54.034041603404,-0.9687069968707
"Pin","18","0",54.037709103771,-0.96225309622531
"Tee","18","0",54.036684903668,-0.96368049636805
