"type","hole","numPoint","lat","lon"
"Pin","1","0",-38.075012307501,145.21321092132
"Target","1","1",-38.075977107598,145.21314612131
"Tee","1","0",-38.078127207813,145.21209762121
"Pin","2","0",-38.075865507587,145.2179503218
"Target","2","1",-38.075740407574,145.21613502161
"Tee","2","0",-38.074875507488,145.21359432136
"Pin","3","0",-38.075768307577,145.22007162201
"Tee","3","0",-38.075466807547,145.2180358218
"Pin","4","0",-38.080262008026,145.21979262198
"Target","4","1",-38.077876107788,145.22029662203
"Target","4","2",-38.079674307967,145.220043722
"Tee","4","0",-38.075677407568,145.22069712207
"Pin","5","0",-38.07680330768,145.21984662198
"Target","5","1",-38.077955307796,145.21946862195
"Tee","5","0",-38.080232308023,145.2190285219
"Pin","6","0",-38.076171507617,145.21440972144
"Target","6","1",-38.076285807629,145.21623582162
"Tee","6","0",-38.076513507651,145.21914642191
"Pin","7","0",-38.077041807704,145.21820232182
"Target","7","1",-38.07709940771,145.21689102169
"Tee","7","0",-38.076847407685,145.2139831214
"Pin","8","0",-38.078444007844,145.21809522181
"Tee","8","0",-38.077088607709,145.2190420219
"Pin","9","0",-38.078515107852,145.21241172124
"Target","9","1",-38.077610607761,145.2150235215
"Target","9","2",-38.078264007826,145.21327752133
"Tee","9","0",-38.078606007861,145.21766052177
"Pin","10","0",-38.077576407758,145.20555552056
"Target","10","1",-38.077440507744,145.2070369207
"Tee","10","0",-38.078262207826,145.20965682097
"Pin","11","0",-38.075217507522,145.209995221
"Target","11","1",-38.076316407632,145.20770292077
"Target","11","2",-38.075552307555,145.20937422094
"Tee","11","0",-38.077217307722,145.2050110205
"Pin","12","0",-38.076566607657,145.20508392051
"Target","12","1",-38.076091407609,145.20647982065
"Tee","12","0",-38.075025807503,145.20907182091
"Pin","13","0",-38.07779780778,145.20454212045
"Tee","13","0",-38.076562107656,145.20451242045
"Pin","14","0",-38.075261607526,145.20391932039
"Target","14","1",-38.075865507587,145.20318402032
"Tee","14","0",-38.07790310779,145.20381222038
"Pin","15","0",-38.075377707538,145.20658872066
"Tee","15","0",-38.075192307519,145.20463032046
"Pin","16","0",-38.074408407441,145.20405342041
"Target","16","1",-38.074586607459,145.20522972052
"Tee","16","0",-38.07520310752,145.20755712076
"Pin","17","0",-38.074660407466,145.20988452099
"Target","17","1",-38.074410207441,145.20685602069
"Target","17","2",-38.074443507444,145.20936252094
"Tee","17","0",-38.073953007395,145.2039895204
"Pin","18","0",-38.077890507789,145.21111572111
"Target","18","1",-38.076734007673,145.21065942107
"Tee","18","0",-38.074484907448,145.21128492113
