"type","hole","numPoint","lat","lon"
"Pin","1","0",34.428978742898,-119.90181899018
"Target","1","1",34.429654642965,-119.90410679041
"Target","1","2",34.429045342905,-119.90214749021
"Tee","1","0",34.430659943066,-119.90667359067
"Pin","2","0",34.425557842556,-119.90312219031
"Target","2","1",34.427011342701,-119.90245439025
"Tee","2","0",34.429115542912,-119.90120429012
"Pin","3","0",34.428485542849,-119.90111339011
"Target","3","1",34.427354242735,-119.90155799016
"Tee","3","0",34.425164542516,-119.90256959026
"Pin","4","0",34.426431742643,-119.9009630901
"Tee","4","0",34.428558442856,-119.90067329007
"Pin","5","0",34.422011842201,-119.90088479009
"Target","5","1",34.42390184239,-119.90115029011
"Target","5","2",34.422348442235,-119.90094869009
"Tee","5","0",34.426215742622,-119.90069759007
"Pin","6","0",34.422843442284,-119.90261279026
"Tee","6","0",34.421808442181,-119.90116649012
"Pin","7","0",34.425064642506,-119.90339849034
"Target","7","1",34.424687542469,-119.90221409022
"Tee","7","0",34.422573442257,-119.90138969014
"Pin","8","0",34.428206542821,-119.90359649036
"Target","8","1",34.427219242722,-119.90364599036
"Tee","8","0",34.424961142496,-119.90379269038
"Pin","9","0",34.430045243005,-119.9069741907
"Target","9","1",34.429519642952,-119.90577899058
"Tee","9","0",34.428560242856,-119.90318699032
"Pin","10","0",34.429326142933,-119.91129509113
"Target","10","1",34.43009834301,-119.91071909107
"Tee","10","0",34.430983043098,-119.90825039083
"Pin","11","0",34.429111042911,-119.91216089122
"Tee","11","0",34.430535743054,-119.91079289108
"Pin","12","0",34.42840094284,-119.9090180909
"Target","12","1",34.428888742889,-119.90991809099
"Tee","12","0",34.428814942881,-119.91220949122
"Pin","13","0",34.425358942536,-119.90682929068
"Target","13","1",34.426777342678,-119.90833409083
"Target","13","2",34.425781042578,-119.90662319066
"Tee","13","0",34.428182242818,-119.91066959107
"Pin","14","0",34.423172842317,-119.90291789029
"Target","14","1",34.423882042388,-119.90422469042
"Tee","14","0",34.425135742514,-119.90662499066
"Pin","15","0",34.428147142815,-119.90441009044
"Target","15","1",34.425722542572,-119.90513369051
"Target","15","2",34.427643142764,-119.90458559046
"Tee","15","0",34.423914442391,-119.90324819032
"Pin","16","0",34.425759442576,-119.90582849058
"Target","16","1",34.426810642681,-119.90589059059
"Tee","16","0",34.428673642867,-119.90461889046
"Pin","17","0",34.428877042888,-119.90858339086
"Target","17","1",34.427857342786,-119.9080289908
"Tee","17","0",34.426078042608,-119.90617949062
"Pin","18","0",34.43029724303,-119.90845199085
"Tee","18","0",34.429376542938,-119.90975519098
