"type","hole","numPoint","lat","lon"
"Pin","1","0",13.171666017167,-59.619111861911
"Target","1","1",13.172652417265,-59.619007461901
"Tee","1","0",13.174786317479,-59.619144261914
"Pin","2","0",13.174251717425,-59.617470261747
"Target","2","1",13.173383217338,-59.617638561764
"Tee","2","0",13.171469817147,-59.618709561871
"Pin","3","0",13.178113617811,-59.616829461683
"Target","3","1",13.177094817709,-59.616383061638
"Tee","3","0",13.17479711748,-59.616225561623
"Pin","4","0",13.178116317812,-59.614906161491
"Tee","4","0",13.178278317828,-59.616284961629
"Pin","5","0",13.174870017487,-59.613650661365
"Target","5","1",13.176130917613,-59.613648861365
"Tee","5","0",13.178353917835,-59.614265361427
"Pin","6","0",13.169440316944,-59.61420056142
"Target","6","1",13.171045017104,-59.613606561361
"Target","6","2",13.169576216958,-59.613789261379
"Tee","6","0",13.173209517321,-59.614281561428
"Pin","7","0",13.168419716842,-59.616356961636
"Target","7","1",13.168643816864,-59.61559556156
"Tee","7","0",13.168534016853,-59.613444561344
"Pin","8","0",13.170180117018,-59.616593661659
"Tee","8","0",13.168591616859,-59.616623361662
"Pin","9","0",13.169835416984,-59.621394262139
"Target","9","1",13.170766917077,-59.618774361877
"Target","9","2",13.170293517029,-59.620611262061
"Tee","9","0",13.170613017061,-59.616330861633
"Pin","10","0",13.173447117345,-59.62329596233
"Target","10","1",13.17189731719,-59.623194262319
"Tee","10","0",13.169563616956,-59.622980062298
"Pin","11","0",13.173619017362,-59.625533362553
"Tee","11","0",13.174141917414,-59.623328362333
"Pin","12","0",13.168344116834,-59.626337962634
"Target","12","1",13.170826317083,-59.626027462603
"Target","12","2",13.169224316922,-59.626084162608
"Tee","12","0",13.172955717296,-59.624924062492
"Pin","13","0",13.166332616633,-59.626925662693
"Tee","13","0",13.168257716826,-59.626791562679
"Pin","14","0",13.168437716844,-59.623467862347
"Target","14","1",13.168205516821,-59.625366862537
"Target","14","2",13.168760816876,-59.6240033624
"Tee","14","0",13.166152616615,-59.626528762653
"Pin","15","0",13.168738316874,-59.618476461848
"Target","15","1",13.168755416876,-59.620535662054
"Target","15","2",13.16869511687,-59.61880496188
"Tee","15","0",13.168327916833,-59.622859462286
"Pin","16","0",13.169477216948,-59.617620561762
"Tee","16","0",13.167675416768,-59.617580061758
"Pin","17","0",13.169443016944,-59.621383462138
"Target","17","1",13.169667116967,-59.619522261952
"Tee","17","0",13.170239517024,-59.617057161706
"Pin","18","0",13.174455117446,-59.620640962064
"Target","18","1",13.172984517298,-59.620967662097
"Tee","18","0",13.170618417062,-59.621273662127
