"type","hole","numPoint","lat","lon"
"Pin","1","0",51.626787062679,-0.42516994251699
"Target","1","1",51.628211762821,-0.42662884266288
"Target","1","2",51.627053462705,-0.42549124254912
"Tee","1","0",51.630207063021,-0.42848014284801
"Pin","2","0",51.629452862945,-0.42686824268682
"Target","2","1",51.628370162837,-0.42582154258215
"Tee","2","0",51.626426162643,-0.42409354240935
"Pin","3","0",51.628894862889,-0.42537964253796
"Tee","3","0",51.630027063003,-0.42671524267152
"Pin","4","0",51.630418563042,-0.41945764194576
"Target","4","1",51.62980386298,-0.42220714222071
"Target","4","2",51.630361863036,-0.41999854199985
"Tee","4","0",51.628678862868,-0.42544354254435
"Pin","5","0",51.629940662994,-0.42448144244814
"Target","5","1",51.63029796303,-0.42230524223052
"Tee","5","0",51.630918063092,-0.41873314187331
"Pin","6","0",51.631139463114,-0.41929114192911
"Target","6","1",51.630864963086,-0.42156724215672
"Tee","6","0",51.630486963049,-0.42522664252266
"Pin","7","0",51.631009863101,-0.41624914162491
"Tee","7","0",51.630790263079,-0.41876824187682
"Pin","8","0",51.630210663021,-0.41635894163589
"Tee","8","0",51.630661563066,-0.41535634153563
"Pin","9","0",51.628875062888,-0.41959174195917
"Target","9","1",51.629131562913,-0.41856484185648
"Tee","9","0",51.629975762998,-0.41525734152573
"Pin","10","0",51.630087363009,-0.41732194173219
"Tee","10","0",51.62930346293,-0.41954314195431
"Pin","11","0",51.628477262848,-0.42455344245534
"Target","11","1",51.629358362936,-0.42128734212873
"Target","11","2",51.62879676288,-0.42342214234221
"Tee","11","0",51.630428463043,-0.41800324180032
"Pin","12","0",51.628425962843,-0.41977624197762
"Target","12","1",51.628693262869,-0.42090664209066
"Tee","12","0",51.627784262778,-0.42431494243149
"Pin","13","0",51.629326862933,-0.41527264152726
"Target","13","1",51.62909736291,-0.41635084163508
"Tee","13","0",51.628457462846,-0.41935774193577
"Pin","14","0",51.627691562769,-0.42177424217742
"Target","14","1",51.628065962807,-0.41851354185135
"Target","14","2",51.627737462774,-0.42131164213116
"Tee","14","0",51.628860662886,-0.41503144150314
"Pin","15","0",51.627229862723,-0.42396574239657
"Tee","15","0",51.628244162824,-0.42166714216671
"Pin","16","0",51.625280462528,-0.42789244278924
"Target","16","1",51.625994162599,-0.42617164261716
"Tee","16","0",51.627025562703,-0.4228560422856
"Pin","17","0",51.628612262861,-0.43022344302234
"Target","17","1",51.626712362671,-0.42836044283604
"Target","17","2",51.62819826282,-0.42949624294962
"Tee","17","0",51.624534362453,-0.42823354282335
"Pin","18","0",51.629934362993,-0.43040074304007
"Tee","18","0",51.628727462873,-0.43097494309749
