"type","hole","numPoint","lat","lon"
"Pin","1","0",40.390609039061,-3.873219687322
"Target","1","1",40.391806039181,-3.8757756875776
"Target","1","2",40.39079533908,-3.8739378873938
"Tee","1","0",40.393216339322,-3.8781660878166
"Pin","2","0",40.393128139313,-3.8768484876848
"Target","2","1",40.392221839222,-3.8750988875099
"Tee","2","0",40.390840339084,-3.8726805872681
"Pin","3","0",40.392705139271,-3.8747649874765
"Tee","3","0",40.39369603937,-3.8770230877023
"Pin","4","0",40.391577439158,-3.8695827869583
"Target","4","1",40.391768239177,-3.871479987148
"Tee","4","0",40.392511639251,-3.8743410874341
"Pin","5","0",40.390137439014,-3.8640657864066
"Target","5","1",40.39109863911,-3.8667342866734
"Target","5","2",40.390437139044,-3.864639986464
"Tee","5","0",40.392211039221,-3.8693811869381
"Pin","6","0",40.390930339093,-3.8680266868027
"Target","6","1",40.390645039065,-3.8672526867253
"Tee","6","0",40.38990253899,-3.8647362864736
"Pin","7","0",40.389312138931,-3.8666352866635
"Tee","7","0",40.390380439038,-3.8678664867866
"Pin","8","0",40.389485838949,-3.8624961862496
"Target","8","1",40.389373338937,-3.8641647864165
"Tee","8","0",40.388668638867,-3.8670429867043
"Pin","9","0",40.389716238972,-3.8593929859393
"Target","9","1",40.389484038948,-3.8604270860427
"Tee","9","0",40.390105039011,-3.8633385863339
"Pin","10","0",40.389383238938,-3.8555706855571
"Target","10","1",40.389376938938,-3.8579628857963
"Tee","10","0",40.388956638896,-3.8609355860936
"Pin","11","0",40.390016839002,-3.8539857853986
"Tee","11","0",40.38979633898,-3.8561529856153
"Pin","12","0",40.391087839109,-3.8577513857751
"Target","12","1",40.390672039067,-3.8537823853782
"Target","12","2",40.391019439102,-3.8563338856334
"Tee","12","0",40.38940033894,-3.8511345851135
"Pin","13","0",40.390425439043,-3.8553051855305
"Target","13","1",40.390490239049,-3.8566713856671
"Tee","13","0",40.390789039079,-3.8596692859669
"Pin","14","0",40.390243639024,-3.861229886123
"Target","14","1",40.390259839026,-3.8593911859391
"Tee","14","0",40.389947538995,-3.8562870856287
"Pin","15","0",40.390917739092,-3.8644491864449
"Target","15","1",40.39049833905,-3.8629605862961
"Tee","15","0",40.390735939074,-3.8599536859954
"Pin","16","0",40.39279693928,-3.869030186903
"Target","16","1",40.392067039207,-3.8678457867846
"Tee","16","0",40.391142739114,-3.8650764865076
"Pin","17","0",40.392580939258,-3.8702883870288
"Tee","17","0",40.394065939407,-3.8699022869902
"Pin","18","0",40.394109139411,-3.8765244876524
"Target","18","1",40.392906739291,-3.8736327873633
"Target","18","2",40.393762639376,-3.875539887554
"Tee","18","0",40.392194839219,-3.8707014870701
