"type","hole","numPoint","lat","lon"
"Pin","1","0",40.560224856022,-75.389830538983
"Target","1","1",40.558253855825,-75.388413938841
"Target","1","2",40.559764955976,-75.389268938927
"Tee","1","0",40.556558255656,-75.386284538628
"Pin","2","0",40.557239555724,-75.386276438628
"Target","2","1",40.558589555859,-75.387309638731
"Tee","2","0",40.560412056041,-75.389248238925
"Pin","3","0",40.556652755665,-75.383127338313
"Target","3","1",40.556653655665,-75.38429553843
"Tee","3","0",40.558215155822,-75.38629533863
"Pin","4","0",40.554987755499,-75.383747438375
"Tee","4","0",40.556254955625,-75.383269538327
"Pin","5","0",40.558060355806,-75.381906938191
"Target","5","1",40.556536655654,-75.38239563824
"Tee","5","0",40.554288455429,-75.383441438344
"Pin","6","0",40.554040055404,-75.383170538317
"Target","6","1",40.55590035559,-75.381724238172
"Target","6","2",40.554462155446,-75.382376738238
"Tee","6","0",40.558239455824,-75.381534338153
"Pin","7","0",40.551259955126,-75.384653738465
"Target","7","1",40.552432655243,-75.383492738349
"Tee","7","0",40.554272255427,-75.381671138167
"Pin","8","0",40.55410305541,-75.384610538461
"Target","8","1",40.552944755294,-75.384428738443
"Tee","8","0",40.550750555075,-75.385512338551
"Pin","9","0",40.555984055598,-75.385214438521
"Tee","9","0",40.554220955422,-75.384957038496
"Pin","10","0",40.557748955775,-75.390927639093
"Target","10","1",40.557208055721,-75.390014139001
"Tee","10","0",40.555953455595,-75.387472538747
"Pin","11","0",40.556209955621,-75.390922239092
"Tee","11","0",40.557565355757,-75.391507239151
"Pin","12","0",40.555354055535,-75.387928838793
"Target","12","1",40.554876155488,-75.389557838956
"Tee","12","0",40.556448455645,-75.391772739177
"Pin","13","0",40.558270055827,-75.389337338934
"Target","13","1",40.557509555751,-75.38890083889
"Tee","13","0",40.55620185562,-75.387027938703
"Pin","14","0",40.55819535582,-75.39079893908
"Tee","14","0",40.559419355942,-75.389592038959
"Pin","15","0",40.554125555413,-75.39029943903
"Target","15","1",40.556168555617,-75.392586339259
"Target","15","2",40.55460075546,-75.391293939129
"Tee","15","0",40.558339355834,-75.391576539158
"Pin","16","0",40.550508455051,-75.388982738898
"Target","16","1",40.552237355224,-75.389195138919
"Tee","16","0",40.554561155456,-75.38989983899
"Pin","17","0",40.553320055332,-75.388679438868
"Target","17","1",40.55229765523,-75.388149338815
"Tee","17","0",40.550015255002,-75.388548038855
"Pin","18","0",40.555669955567,-75.387116138712
"Target","18","1",40.5550003555,-75.387252938725
"Tee","18","0",40.553430755343,-75.389242838924
