"type","hole","numPoint","lat","lon"
"Pin","1","0",40.555313555531,-75.364545036455
"Target","1","1",40.555262255526,-75.366044436604
"Tee","1","0",40.554467555447,-75.36859773686
"Pin","2","0",40.556577155658,-75.362547036255
"Tee","2","0",40.555939055594,-75.364368636437
"Pin","3","0",40.558252055825,-75.357769835777
"Target","3","1",40.55789655579,-75.359524835952
"Tee","3","0",40.557162155716,-75.36239673624
"Pin","4","0",40.556530355653,-75.361543536154
"Target","4","1",40.557223355722,-75.360567936057
"Tee","4","0",40.557911855791,-75.357676235768
"Pin","5","0",40.555183055518,-75.363807936381
"Tee","5","0",40.556359355636,-75.362278836228
"Pin","6","0",40.553632355363,-75.36859773686
"Target","6","1",40.553986955399,-75.36549903655
"Target","6","2",40.554156155416,-75.367706736771
"Tee","6","0",40.555134455513,-75.362871936287
"Pin","7","0",40.556389955639,-75.3729996373
"Target","7","1",40.555517855552,-75.372262537226
"Tee","7","0",40.55490405549,-75.369453636945
"Pin","8","0",40.559114255911,-75.375888637589
"Target","8","1",40.558080155808,-75.375719437572
"Tee","8","0",40.55679945568,-75.37339923734
"Pin","9","0",40.555331555533,-75.369647136965
"Target","9","1",40.55649525565,-75.371991637199
"Target","9","2",40.55569875557,-75.370612837061
"Tee","9","0",40.557954155795,-75.374335237434
"Pin","10","0",40.558184555818,-75.373329937333
"Target","10","1",40.557334055733,-75.371991637199
"Tee","10","0",40.555877855588,-75.369644436964
"Pin","11","0",40.556515955652,-75.369571536957
"Target","11","1",40.55730525573,-75.370648837065
"Tee","11","0",40.558993655899,-75.372709837271
"Pin","12","0",40.559591255959,-75.364057236406
"Target","12","1",40.55780295578,-75.366078636608
"Target","12","2",40.559146655915,-75.36440463644
"Tee","12","0",40.557289955729,-75.369089136909
"Pin","13","0",40.560377856038,-75.360057636006
"Target","13","1",40.561013256101,-75.360924336092
"Tee","13","0",40.560493956049,-75.363821436382
"Pin","14","0",40.559530055953,-75.362364336236
"Tee","14","0",40.560026856003,-75.360270036027
"Pin","15","0",40.559812655981,-75.35969853597
"Target","15","1",40.559181755918,-75.360926136093
"Tee","15","0",40.558437455844,-75.363794436379
"Pin","16","0",40.558513055851,-75.359036135904
"Tee","16","0",40.559538155954,-75.358110935811
"Pin","17","0",40.55750055575,-75.362774736277
"Target","17","1",40.558025255802,-75.36210423621
"Tee","17","0",40.559262755926,-75.359613035961
"Pin","18","0",40.5569965557,-75.368616636862
"Target","18","1",40.556521355652,-75.365551236555
"Target","18","2",40.557029855703,-75.367722936772
"Tee","18","0",40.55690475569,-75.362453436245
