"type","hole","numPoint","lat","lon"
"Pin","1","0",31.160248616025,-81.399936639994
"Target","1","1",31.15830371583,-81.400686340069
"Target","1","2",31.159955215996,-81.400287640029
"Tee","1","0",31.155931315593,-81.400963540096
"Pin","2","0",31.158593515859,-81.396551739655
"Target","2","1",31.159606915961,-81.397180839718
"Tee","2","0",31.160836316084,-81.399456939946
"Pin","3","0",31.160470916047,-81.396841539684
"Tee","3","0",31.158692515869,-81.39619533962
"Pin","4","0",31.161809216181,-81.401318140132
"Target","4","1",31.161570716157,-81.399923139992
"Tee","4","0",31.160562716056,-81.39750393975
"Pin","5","0",31.164221216422,-81.404552740455
"Target","5","1",31.163539016354,-81.403549240355
"Tee","5","0",31.162192616219,-81.401366740137
"Pin","6","0",31.162215116222,-81.407871040787
"Target","6","1",31.162530116253,-81.406834240683
"Tee","6","0",31.164622616462,-81.406323040632
"Pin","7","0",31.160244116024,-81.407468740747
"Tee","7","0",31.1619973162,-81.408173440817
"Pin","8","0",31.154957515496,-81.405963940596
"Target","8","1",31.156969015697,-81.406533640653
"Target","8","2",31.155383215538,-81.406257340626
"Tee","8","0",31.159213615921,-81.407323840732
"Pin","9","0",31.155483115548,-81.402313540231
"Target","9","1",31.155359815536,-81.403462840346
"Tee","9","0",31.154354515435,-81.405882940588
"Pin","10","0",31.157388415739,-81.396530139653
"Target","10","1",31.156467715647,-81.398443539844
"Target","10","2",31.157114815711,-81.396834339683
"Tee","10","0",31.154735215474,-81.400215640022
"Pin","11","0",31.156041115604,-81.392241639224
"Target","11","1",31.156458715646,-81.393121839312
"Tee","11","0",31.157049115705,-81.395722839572
"Pin","12","0",31.154489515449,-81.393633039363
"Tee","12","0",31.15560461556,-81.392283939228
"Pin","13","0",31.150949815095,-81.396484239648
"Target","13","1",31.152256615226,-81.395615739562
"Tee","13","0",31.153892815389,-81.393654639365
"Pin","14","0",31.147220214722,-81.399619839962
"Target","14","1",31.148557614856,-81.398529039853
"Tee","14","0",31.150325215033,-81.396658839666
"Pin","15","0",31.14960251496,-81.401521540152
"Target","15","1",31.148978814898,-81.400908640091
"Tee","15","0",31.146811614681,-81.400156240016
"Pin","16","0",31.150532215053,-81.400869940087
"Tee","16","0",31.150373815037,-81.402286540229
"Pin","17","0",31.153451815345,-81.404730040473
"Target","17","1",31.151940715194,-81.403161340316
"Target","17","2",31.153243015324,-81.404334040433
"Tee","17","0",31.151137915114,-81.400588240059
"Pin","18","0",31.154331115433,-81.402079540208
"Target","18","1",31.153954015395,-81.402924640292
"Tee","18","0",31.15390451539,-81.405614740561
