"type","hole","numPoint","lat","lon"
"Pin","1","0",54.653980565398,-1.1834632183463
"Target","1","1",54.654487265449,-1.1842156184216
"Tee","1","0",54.65650146565,-1.1861425186143
"Pin","2","0",54.650617265062,-1.1797129179713
"Target","2","1",54.652477565248,-1.1821321182132
"Target","2","2",54.650964665096,-1.1805508180551
"Tee","2","0",54.654276665428,-1.1846161184616
"Pin","3","0",54.651744065174,-1.1806417180642
"Tee","3","0",54.650623565062,-1.1792251179225
"Pin","4","0",54.650511965051,-1.1783269178327
"Target","4","1",54.651318365132,-1.1788156178816
"Tee","4","0",54.653021165302,-1.1814940181494
"Pin","5","0",54.648308764831,-1.176349617635
"Target","5","1",54.648983764898,-1.1777077177708
"Tee","5","0",54.650521865052,-1.1806705180671
"Pin","6","0",54.649286164929,-1.1759959175996
"Tee","6","0",54.647987464799,-1.1752237175224
"Pin","7","0",54.647109064711,-1.1737081173708
"Target","7","1",54.647678764768,-1.1741590174159
"Tee","7","0",54.649759564976,-1.1758618175862
"Pin","8","0",54.64319586432,-1.1725894172589
"Target","8","1",54.644178664418,-1.1726119172612
"Tee","8","0",54.645573664557,-1.1749231174923
"Pin","9","0",54.645485464549,-1.172479617248
"Target","9","1",54.644712364471,-1.1720845172085
"Tee","9","0",54.642683764268,-1.1703547170355
"Pin","10","0",54.646955164696,-1.1680885168089
"Target","10","1",54.64670316467,-1.1698732169873
"Tee","10","0",54.646451164645,-1.1738287173829
"Pin","11","0",54.649463464946,-1.1729377172938
"Target","11","1",54.647608564761,-1.171309617131
"Target","11","2",54.649161964916,-1.1726155172616
"Tee","11","0",54.647237764724,-1.1677429167743
"Pin","12","0",54.652159865216,-1.1768248176825
"Target","12","1",54.651445265145,-1.1754892175489
"Tee","12","0",54.649914364991,-1.1729089172909
"Pin","13","0",54.647487964749,-1.172230317223
"Target","13","1",54.649586764959,-1.1739340173934
"Target","13","2",54.6480000648,-1.1725849172585
"Tee","13","0",54.651379565138,-1.1764306176431
"Pin","14","0",54.650584865058,-1.1761651176165
"Target","14","1",54.648857764886,-1.1744614174461
"Target","14","2",54.65019966502,-1.1757007175701
"Tee","14","0",54.646815664682,-1.1726245172625
"Pin","15","0",54.649624564962,-1.1766718176672
"Tee","15","0",54.651317465132,-1.176719517672
"Pin","16","0",54.652513565251,-1.1793268179327
"Target","16","1",54.651420965142,-1.1776654177665
"Tee","16","0",54.64920066492,-1.1769238176924
"Pin","17","0",54.654448565445,-1.1832724183272
"Target","17","1",54.653855465386,-1.1819476181948
"Tee","17","0",54.652648565265,-1.1785573178557
"Pin","18","0",54.65649696565,-1.185740218574
"Target","18","1",54.655713965571,-1.1846836184684
"Tee","18","0",54.654273965427,-1.1817622181762
