"type","hole","numPoint","lat","lon"
"Pin","1","0",36.011864701186,-79.889913788991
"Target","1","1",36.012878101288,-79.889361188936
"Tee","1","0",36.014688001469,-79.88760258876
"Pin","2","0",36.010184401018,-79.886852888685
"Target","2","1",36.011222101122,-79.887814988781
"Tee","2","0",36.011661301166,-79.890609489061
"Pin","3","0",36.009709200971,-79.889053388905
"Tee","3","0",36.010049401005,-79.887367688737
"Pin","4","0",36.006630300663,-79.891216989122
"Target","4","1",36.007794900779,-79.891057689106
"Tee","4","0",36.009933300993,-79.890000189
"Pin","5","0",36.006105600611,-79.886288588629
"Target","5","1",36.005825700583,-79.888685288869
"Target","5","2",36.005930100593,-79.886605388661
"Tee","5","0",36.006035400604,-79.891520289152
"Pin","6","0",36.00729540073,-79.882225988223
"Target","6","1",36.007113600711,-79.88380188838
"Tee","6","0",36.00650340065,-79.886335388634
"Pin","7","0",36.009121500912,-79.883229488323
"Tee","7","0",36.007588800759,-79.881970388197
"Pin","8","0",36.011916001192,-79.883369888337
"Target","8","1",36.011090701109,-79.883319488332
"Tee","8","0",36.008916300892,-79.883878388388
"Pin","9","0",36.013737601374,-79.88660088866
"Target","9","1",36.012936601294,-79.885662188566
"Tee","9","0",36.0119952012,-79.883063888306
"Pin","10","0",36.014451301445,-79.88129718813
"Target","10","1",36.01390140139,-79.882730888273
"Tee","10","0",36.013606201361,-79.885553288555
"Pin","11","0",36.010773901077,-79.880652788065
"Target","11","1",36.012172501217,-79.88059878806
"Tee","11","0",36.014474701447,-79.880652788065
"Pin","12","0",36.00830430083,-79.880811188081
"Tee","12","0",36.010288801029,-79.880713988071
"Pin","13","0",36.005694300569,-79.878818587882
"Target","13","1",36.006374700637,-79.879643887964
"Tee","13","0",36.008641800864,-79.880141588014
"Pin","14","0",36.009243000924,-79.877886187789
"Target","14","1",36.007534800753,-79.877461387746
"Tee","14","0",36.005431500543,-79.878619687862
"Pin","15","0",36.013074301307,-79.878359587836
"Target","15","1",36.0109953011,-79.87789518779
"Target","15","2",36.01270260127,-79.878462187846
"Tee","15","0",36.008746200875,-79.877284987729
"Pin","16","0",36.012987901299,-79.877229187723
"Tee","16","0",36.013621501362,-79.87870338787
"Pin","17","0",36.015388201539,-79.880063288006
"Target","17","1",36.01460430146,-79.879367587937
"Tee","17","0",36.013260601326,-79.877055487706
"Pin","18","0",36.013965301397,-79.885522688552
"Target","18","1",36.014576401458,-79.88340228834
"Tee","18","0",36.015150601515,-79.880645588065
