"type","hole","numPoint","lat","lon"
"Pin","1","0",36.26090012609,-115.10936801094
"Target","1","1",36.26040062604,-115.10809811081
"Tee","1","0",36.258170425817,-115.10738891074
"Pin","2","0",36.258218125822,-115.10819351082
"Target","2","1",36.259308925931,-115.10893871089
"Tee","2","0",36.261071126107,-115.11077651108
"Pin","3","0",36.260830826083,-115.11160811116
"Target","3","1",36.259407925941,-115.11092411109
"Tee","3","0",36.257510725751,-115.10913221091
"Pin","4","0",36.257627725763,-115.10964431096
"Target","4","1",36.258625825863,-115.11226781123
"Target","4","2",36.257580025758,-115.11037511104
"Tee","4","0",36.260952326095,-115.11262151126
"Pin","5","0",36.25610312561,-115.10818271082
"Tee","5","0",36.257374825737,-115.10860391086
"Pin","6","0",36.256516225652,-115.11205811121
"Target","6","1",36.255768325577,-115.11010511101
"Tee","6","0",36.25540472554,-115.10718191072
"Pin","7","0",36.254913325491,-115.10812061081
"Target","7","1",36.254991625499,-115.1110060111
"Target","7","2",36.254930425493,-115.10876411088
"Tee","7","0",36.256425325643,-115.11324161132
"Pin","8","0",36.25489622549,-115.10574191057
"Tee","8","0",36.255038425504,-115.10772371077
"Pin","9","0",36.257491825749,-115.10659781066
"Target","9","1",36.256338025634,-115.10564471056
"Tee","9","0",36.254686525469,-115.10358281036
"Pin","10","0",36.261148526115,-115.10305181031
"Target","10","1",36.260540126054,-115.10449811045
"Tee","10","0",36.258426025843,-115.10549261055
"Pin","11","0",36.259911925991,-115.09970470997
"Target","11","1",36.260213426021,-115.09991260999
"Tee","11","0",36.261179126118,-115.10233541023
"Pin","12","0",36.260720126072,-115.10259011026
"Target","12","1",36.260157626016,-115.10161991016
"Tee","12","0",36.258813025881,-115.09930150993
"Pin","13","0",36.258910225891,-115.10423711042
"Tee","13","0",36.260755226076,-115.1030194103
"Pin","14","0",36.255679225568,-115.1020060102
"Target","14","1",36.257322625732,-115.1019907102
"Tee","14","0",36.259542025954,-115.10307341031
"Pin","15","0",36.259420525942,-115.10250731025
"Target","15","1",36.258128125813,-115.10146601015
"Tee","15","0",36.255886225589,-115.10045801005
"Pin","16","0",36.25509962551,-115.09999091
"Target","16","1",36.257816725782,-115.09990990999
"Target","16","2",36.255843925584,-115.09981630998
"Tee","16","0",36.259619425962,-115.10176661018
"Pin","17","0",36.25589702559,-115.10106371011
"Tee","17","0",36.25469912547,-115.10068301007
"Pin","18","0",36.258285625829,-115.10428301043
"Target","18","1",36.256329025633,-115.10388431039
"Target","18","2",36.257639425764,-115.10449091045
"Tee","18","0",36.254844025484,-115.10176931018
