"type","hole","numPoint","lat","lon"
"Pin","1","0",37.622088162209,-122.48832114883
"Target","1","1",37.622975562298,-122.48869554887
"Tee","1","0",37.625019462502,-122.48928684893
"Pin","2","0",37.624394862439,-122.48849304885
"Target","2","1",37.623826062383,-122.48814924881
"Tee","2","0",37.621805562181,-122.48726724873
"Pin","3","0",37.622381562238,-122.4860306486
"Target","3","1",37.623040362304,-122.48659674866
"Tee","3","0",37.624713462471,-122.48843904884
"Pin","4","0",37.622170962217,-122.47945614795
"Target","4","1",37.622310462231,-122.48130204813
"Target","4","2",37.622251062225,-122.47974594797
"Tee","4","0",37.621765062177,-122.48412624841
"Pin","5","0",37.621752462175,-122.47749324775
"Tee","5","0",37.621850562185,-122.47956864796
"Pin","6","0",37.623215862322,-122.48108154811
"Target","6","1",37.623109662311,-122.47973964797
"Tee","6","0",37.622016162202,-122.47712244771
"Pin","7","0",37.622648862265,-122.48430624843
"Target","7","1",37.622981862298,-122.4830093483
"Tee","7","0",37.624114962412,-122.48041914804
"Pin","8","0",37.621960362196,-122.48686494869
"Tee","8","0",37.621949562195,-122.48588844859
"Pin","9","0",37.622052162205,-122.49269874927
"Target","9","1",37.622116062212,-122.49060714906
"Target","9","2",37.622052162205,-122.49237024924
"Tee","9","0",37.62179746218,-122.48772804877
"Pin","10","0",37.624905162491,-122.48954154895
"Target","10","1",37.623763062376,-122.48979894898
"Tee","10","0",37.622466162247,-122.49213804921
"Pin","11","0",37.622772162277,-122.49230454923
"Target","11","1",37.623493962349,-122.49120114912
"Tee","11","0",37.625355162536,-122.48957934896
"Pin","12","0",37.622009862201,-122.49448254945
"Tee","12","0",37.622431962243,-122.49241704924
"Pin","13","0",37.625476662548,-122.49030024903
"Target","13","1",37.62380266238,-122.4919616492
"Target","13","2",37.625224662522,-122.49055044906
"Tee","13","0",37.622684862269,-122.49456264946
"Pin","14","0",37.628637462864,-122.49156384916
"Target","14","1",37.627632162763,-122.49082854908
"Tee","14","0",37.625544162554,-122.49057924906
"Pin","15","0",37.629459162946,-122.49219384922
"Tee","15","0",37.628312562831,-122.49187524919
"Pin","16","0",37.626844662684,-122.49418464942
"Target","16","1",37.62780046278,-122.4940289494
"Tee","16","0",37.629691362969,-122.4930092493
"Pin","17","0",37.629266562927,-122.49259344926
"Target","17","1",37.628626662863,-122.49289314929
"Tee","17","0",37.626544962655,-122.49386784939
"Pin","18","0",37.625992362599,-122.48987634899
"Target","18","1",37.627789662779,-122.49013374901
"Target","18","2",37.626646662665,-122.489963649
"Tee","18","0",37.629667962967,-122.49190404919
