"type","hole","numPoint","lat","lon"
"Pin","1","0",50.967812396781,-2.5211774521177
"Target","1","1",50.96870339687,-2.5219424521942
"Tee","1","0",50.970638397064,-2.5239242523924
"Pin","2","0",50.964782096478,-2.5201658520166
"Target","2","1",50.965676696568,-2.5207319520732
"Tee","2","0",50.967650396765,-2.5207319520732
"Pin","3","0",50.966966396697,-2.5226147522615
"Target","3","1",50.966462396646,-2.5223294522329
"Tee","3","0",50.964564296456,-2.520630252063
"Pin","4","0",50.964263696426,-2.5226012522601
"Target","4","1",50.965125896513,-2.5227983522798
"Tee","4","0",50.967012296701,-2.5230170523017
"Pin","5","0",50.967717896772,-2.5231781523178
"Target","5","1",50.966476796648,-2.5236416523642
"Tee","5","0",50.964190796419,-2.5232051523205
"Pin","6","0",50.9630036963,-2.5235138523514
"Target","6","1",50.964694796469,-2.5239440523944
"Target","6","2",50.963226896323,-2.5236335523634
"Tee","6","0",50.966987996699,-2.5242644524264
"Pin","7","0",50.962935296294,-2.5255469525547
"Tee","7","0",50.96279579628,-2.5231034523103
"Pin","8","0",50.966471396647,-2.5248278524828
"Target","8","1",50.964745196475,-2.5246244524624
"Target","8","2",50.966060096606,-2.5246613524661
"Tee","8","0",50.962660796266,-2.5261769526177
"Pin","9","0",50.968812296881,-2.5244255524426
"Tee","9","0",50.96729939673,-2.5238054523805
"Pin","10","0",50.966641496664,-2.5217858521786
"Target","10","1",50.967605396761,-2.5223663522366
"Tee","10","0",50.969258696926,-2.5248170524817
"Pin","11","0",50.970472797047,-2.5245380524538
"Target","11","1",50.968905896891,-2.5232492523249
"Target","11","2",50.970177597018,-2.5244516524452
"Tee","11","0",50.966947496695,-2.5213250521325
"Pin","12","0",50.973888297389,-2.5278851527885
"Target","12","1",50.972774997277,-2.5264730526473
"Tee","12","0",50.971180197118,-2.5238351523835
"Pin","13","0",50.971383597138,-2.5257638525764
"Target","13","1",50.97219899722,-2.5265819526582
"Tee","13","0",50.973867597387,-2.5282559528256
"Pin","14","0",50.973062097306,-2.5285133528513
"Target","14","1",50.972643597264,-2.5280237528024
"Tee","14","0",50.970974097097,-2.5263515526352
"Pin","15","0",50.971226097123,-2.5278590527859
"Tee","15","0",50.972484297248,-2.5284008528401
"Pin","16","0",50.971055997106,-2.5315922531592
"Target","16","1",50.9710046971,-2.5304177530418
"Tee","16","0",50.97130259713,-2.526989652699
"Pin","17","0",50.970651897065,-2.5281029528103
"Target","17","1",50.97059789706,-2.528959752896
"Tee","17","0",50.970707697071,-2.5316966531697
"Pin","18","0",50.971210797121,-2.5244552524455
"Target","18","1",50.970968697097,-2.5253012525301
"Tee","18","0",50.970268497027,-2.5286474528647
