"type","hole","numPoint","lat","lon"
"Pin","1","0",52.943820194382,1.1957554195755
"Target","1","1",52.943809394381,1.1970127197013
"Tee","1","0",52.943147894315,1.1999530199953
"Pin","2","0",52.944922694492,1.2030193203019
"Target","2","1",52.944472694447,1.199520119952
"Target","2","2",52.944825494483,1.2023956202396
"Tee","2","0",52.944043394404,1.1957662195766
"Pin","3","0",52.944961394496,1.1984887198489
"Target","3","1",52.945165694517,1.2003184200318
"Tee","3","0",52.945483394548,1.2041029204103
"Pin","4","0",52.944228794423,1.1951605195161
"Target","4","1",52.944523994452,1.1965663196566
"Tee","4","0",52.945473494547,1.1990413199041
"Pin","5","0",52.945664294566,1.1901763190176
"Target","5","1",52.945708394571,1.1925640192564
"Tee","5","0",52.945087394509,1.1962441196244
"Pin","6","0",52.945621994562,1.1867941186794
"Tee","6","0",52.945843394584,1.1896345189635
"Pin","7","0",52.945664294566,1.1783881178388
"Target","7","1",52.945762394576,1.1820907182091
"Target","7","2",52.945720094572,1.1791576179158
"Tee","7","0",52.945753394575,1.1859121185912
"Pin","8","0",52.944839894484,1.1804617180462
"Tee","8","0",52.94530069453,1.1782918178292
"Pin","9","0",52.945413194541,1.1852551185255
"Target","9","1",52.945252994525,1.1835676183568
"Tee","9","0",52.944390794439,1.1800243180024
"Pin","10","0",52.945083794508,1.1912068191207
"Target","10","1",52.945144994515,1.1890666189067
"Tee","10","0",52.94509549451,1.1852470185247
"Pin","11","0",52.944945194495,1.1943739194374
"Tee","11","0",52.945036994504,1.1922229192223
"Pin","12","0",52.944762494476,1.1894446189445
"Target","12","1",52.944387194439,1.1913427191343
"Tee","12","0",52.944811094481,1.1950291195029
"Pin","13","0",52.944143294414,1.1847313184731
"Target","13","1",52.944458294446,1.1857681185768
"Tee","13","0",52.944506894451,1.1893159189316
"Pin","14","0",52.943942594394,1.1803276180328
"Target","14","1",52.944180194418,1.1817676181768
"Tee","14","0",52.944907394491,1.185249718525
"Pin","15","0",52.944017294402,1.184120218412
"Tee","15","0",52.94380039438,1.1815615181562
"Pin","16","0",52.944011894401,1.1894014189401
"Target","16","1",52.943939894394,1.1882242188224
"Tee","16","0",52.943848994385,1.1847475184748
"Pin","17","0",52.943614994361,1.1943019194302
"Target","17","1",52.943718494372,1.19260001926
"Tee","17","0",52.943679794368,1.188779518878
"Pin","18","0",52.942858094286,1.1998459199846
"Target","18","1",52.943126294313,1.1979910197991
"Tee","18","0",52.943320694332,1.1941840194184
