"type","hole","numPoint","lat","lon"
"Pin","1","0",31.113349611335,121.2149614215
"Target","1","1",31.112077011208,121.21566432157
"Tee","1","0",31.109863910986,121.21640682164
"Pin","2","0",31.110043011004,121.21459602146
"Target","2","1",31.111735911174,121.21291572129
"Target","2","2",31.110484011048,121.21374462137
"Tee","2","0",31.113793311379,121.21375452138
"Pin","3","0",31.110716211072,121.21047942105
"Target","3","1",31.110244611024,121.21136322114
"Tee","3","0",31.10969651097,121.21372752137
"Pin","4","0",31.110313911031,121.2079738208
"Tee","4","0",31.109818010982,121.20967212097
"Pin","5","0",31.112369511237,121.20463212046
"Target","5","1",31.11160271116,121.20606312061
"Tee","5","0",31.110663111066,121.20851832085
"Pin","6","0",31.113919311392,121.2030148203
"Tee","6","0",31.112718711272,121.20425412043
"Pin","7","0",31.113671811367,121.20658962066
"Target","7","1",31.113957111396,121.20554022055
"Tee","7","0",31.114147011415,121.20339012034
"Pin","8","0",31.113494511349,121.21311282131
"Target","8","1",31.112652111265,121.21006182101
"Target","8","2",31.113194811319,121.21227852123
"Tee","8","0",31.113949011395,121.2080170208
"Pin","9","0",31.110224811022,121.21552212155
"Target","9","1",31.111543311154,121.21447002145
"Tee","9","0",31.113824811382,121.21411362141
"Pin","10","0",31.112915811292,121.21645272165
"Target","10","1",31.111871811187,121.21683612168
"Tee","10","0",31.109693810969,121.21692972169
"Pin","11","0",31.111783611178,121.21907262191
"Target","11","1",31.11280421128,121.21792332179
"Tee","11","0",31.113689811369,121.21544112154
"Pin","12","0",31.113636711364,121.21848582185
"Tee","12","0",31.112229111223,121.21967112197
"Pin","13","0",31.112436111244,121.22226762223
"Target","13","1",31.113458511346,121.22134332213
"Tee","13","0",31.113866211387,121.21879362188
"Pin","14","0",31.107829010783,121.22244672224
"Target","14","1",31.11020051102,121.22258082226
"Target","14","2",31.108393310839,121.2230479223
"Tee","14","0",31.112581011258,121.22275002227
"Pin","15","0",31.106382710638,121.21827612183
"Target","15","1",31.107051410705,121.219975322
"Tee","15","0",31.107535610754,121.22265372227
"Pin","16","0",31.105333310533,121.21559412156
"Target","16","1",31.10560061056,121.21621242162
"Tee","16","0",31.107331310733,121.2169783217
"Pin","17","0",31.106474510647,121.21541952154
"Tee","17","0",31.104774410477,121.21510092151
"Pin","18","0",31.109190710919,121.21456722146
"Target","18","1",31.10739701074,121.21322172132
"Target","18","2",31.108767710877,121.21387602139
"Tee","18","0",31.105266710527,121.21375452138
