"type","hole","numPoint","lat","lon"
"Pin","1","0",52.687228368723,-2.3637206363721
"Target","1","1",52.686847668685,-2.3651606365161
"Tee","1","0",52.685351868535,-2.3678678367868
"Pin","2","0",52.684523868452,-2.3678219367822
"Target","2","1",52.685771268577,-2.3661560366156
"Target","2","2",52.684732668473,-2.3675969367597
"Tee","2","0",52.687182468718,-2.3631545363155
"Pin","3","0",52.681685268169,-2.3674817367482
"Target","3","1",52.682271168227,-2.3677634367763
"Tee","3","0",52.684551768455,-2.3682890368289
"Pin","4","0",52.684738968474,-2.3667707366771
"Target","4","1",52.684436568444,-2.366979536698
"Tee","4","0",52.682257668226,-2.3669606366961
"Pin","5","0",52.686745068674,-2.363310236331
"Target","5","1",52.686170868617,-2.3644010364401
"Tee","5","0",52.684229568423,-2.3663144366314
"Pin","6","0",52.682614968261,-2.3665268366527
"Target","6","1",52.684785768479,-2.3649473364947
"Target","6","2",52.68330436833,-2.3661263366126
"Tee","6","0",52.686723468672,-2.3628971362897
"Pin","7","0",52.68189676819,-2.3669444366944
"Tee","7","0",52.68289846829,-2.3656223365622
"Pin","8","0",52.680180468018,-2.3724218372422
"Target","8","1",52.680353268035,-2.3712248371225
"Tee","8","0",52.681516068152,-2.3680253368025
"Pin","9","0",52.683328668333,-2.369450036945
"Target","9","1",52.682094768209,-2.3697767369777
"Tee","9","0",52.680457668046,-2.3724461372446
"Pin","10","0",52.681881468188,-2.3689460368946
"Tee","10","0",52.683709368371,-2.3690990369099
"Pin","11","0",52.679208467921,-2.3693564369356
"Target","11","1",52.679821367982,-2.3692448369245
"Tee","11","0",52.681693368169,-2.3682134368213
"Pin","12","0",52.679455967946,-2.3729420372942
"Target","12","1",52.679668367967,-2.3713193371319
"Tee","12","0",52.67869906787,-2.3691278369128
"Pin","13","0",52.682090268209,-2.3708180370818
"Tee","13","0",52.680782568078,-2.3721590372159
"Pin","14","0",52.683086568309,-2.3767886376789
"Target","14","1",52.682610468261,-2.3754611375461
"Tee","14","0",52.681881468188,-2.3718584371858
"Pin","15","0",52.682632968263,-2.3707559370756
"Target","15","1",52.682619468262,-2.3734550373455
"Target","15","2",52.682668968267,-2.371490337149
"Tee","15","0",52.683545568355,-2.3769335376934
"Pin","16","0",52.684045968405,-2.3758364375836
"Target","16","1",52.683322368332,-2.3744558374456
"Tee","16","0",52.682992068299,-2.3706974370697
"Pin","17","0",52.685210568521,-2.3746880374688
"Tee","17","0",52.683894768389,-2.3742515374252
"Pin","18","0",52.683880368388,-2.3695319369532
"Target","18","1",52.683927168393,-2.3716820371682
"Tee","18","0",52.685557968556,-2.3743640374364
