"type","hole","numPoint","lat","lon"
"Pin","1","0",40.895593689559,-72.444169844417
"Target","1","1",40.89490428949,-72.443286944329
"Tee","1","0",40.894168089417,-72.44040064404
"Pin","2","0",40.897080489708,-72.445175144518
"Tee","2","0",40.895012289501,-72.444960944496
"Pin","3","0",40.900712890071,-72.445355144536
"Target","3","1",40.899048789905,-72.445184144518
"Tee","3","0",40.896672789667,-72.446060744606
"Pin","4","0",40.89840168984,-72.442428344243
"Target","4","1",40.899818289982,-72.442905344291
"Tee","4","0",40.90160119016,-72.445081544508
"Pin","5","0",40.901270890127,-72.439110943911
"Target","5","1",40.899519489952,-72.441210644121
"Target","5","2",40.900733590073,-72.440090144009
"Tee","5","0",40.897329789733,-72.442712744271
"Pin","6","0",40.901317690132,-72.44410234441
"Target","6","1",40.900972090097,-72.441985544199
"Tee","6","0",40.901793790179,-72.438966043897
"Pin","7","0",40.89949518995,-72.444340844434
"Tee","7","0",40.9009990901,-72.444993344499
"Pin","8","0",40.896415389642,-72.443683844368
"Target","8","1",40.897716789772,-72.443709044371
"Tee","8","0",40.900052290005,-72.443962844396
"Pin","9","0",40.894569489457,-72.439762543976
"Target","9","1",40.894906989491,-72.441830744183
"Tee","9","0",40.896347889635,-72.444343544434
"Pin","10","0",40.893124089312,-72.434754943475
"Target","10","1",40.893377889338,-72.436076143608
"Tee","10","0",40.894051089405,-72.43910284391
"Pin","11","0",40.894177089418,-72.434275243428
"Tee","11","0",40.89290358929,-72.433982743398
"Pin","12","0",40.897605189761,-72.435267043527
"Target","12","1",40.896125589613,-72.435136543514
"Tee","12","0",40.893779289378,-72.434569543457
"Pin","13","0",40.89470178947,-72.438016543802
"Target","13","1",40.895271489527,-72.437094943709
"Tee","13","0",40.897294689729,-72.436182343618
"Pin","14","0",40.898038989804,-72.436632343663
"Target","14","1",40.8970021897,-72.437877943788
"Tee","14","0",40.894806189481,-72.439106443911
"Pin","15","0",40.900249390025,-72.43860154386
"Target","15","1",40.899313389931,-72.437988643799
"Tee","15","0",40.8979948898,-72.435425443543
"Pin","16","0",40.896338889634,-72.43960324396
"Target","16","1",40.899020889902,-72.439241443924
"Target","16","2",40.897409889741,-72.439677943968
"Tee","16","0",40.901318590132,-72.438629443863
"Pin","17","0",40.897370289737,-72.441693944169
"Tee","17","0",40.896577389658,-72.440092844009
"Pin","18","0",40.895284089528,-72.439335943934
"Target","18","1",40.895932989593,-72.441324944133
"Tee","18","0",40.898022789802,-72.442844144284
