"type","hole","numPoint","lat","lon"
"Pin","1","0",55.506073650607,-5.3447414344741
"Target","1","1",55.505531850553,-5.3432465343247
"Tee","1","0",55.504593150459,-5.3401820340182
"Pin","2","0",55.50810045081,-5.3486033348603
"Target","2","1",55.507885350789,-5.3474630347463
"Tee","2","0",55.50679815068,-5.3441267344127
"Pin","3","0",55.509143550914,-5.3500172350017
"Tee","3","0",55.508427150843,-5.3487032348703
"Pin","4","0",55.509335250934,-5.3524094352409
"Tee","4","0",55.509245250925,-5.3504168350417
"Pin","5","0",55.507638750764,-5.3544479354448
"Tee","5","0",55.509183150918,-5.3530457353046
"Pin","6","0",55.507420050742,-5.3510315351032
"Target","6","1",55.507334550733,-5.3519144351914
"Tee","6","0",55.507358850736,-5.3549636354964
"Pin","7","0",55.506890850689,-5.3492558349256
"Tee","7","0",55.507123950712,-5.3515679351568
"Pin","8","0",55.508663850866,-5.3524634352463
"Target","8","1",55.508485650849,-5.3519936351994
"Tee","8","0",55.507313850731,-5.3497544349754
"Pin","9","0",55.507024950703,-5.3468411346841
"Target","9","1",55.507863750786,-5.3493350349335
"Target","9","2",55.507170750717,-5.3472758347276
"Tee","9","0",55.509040050904,-5.3528306352831
"Pin","10","0",55.506520950652,-5.3443742344374
"Tee","10","0",55.506780150678,-5.3466620346662
"Pin","11","0",55.505547150555,-5.3418281341828
"Tee","11","0",55.506711750671,-5.3440142344014
"Pin","12","0",55.505176350518,-5.340749934075
"Tee","12","0",55.506128550613,-5.3412728341273
