"type","hole","numPoint","lat","lon"
"Pin","1","0",41.128510112851,-73.85909688591
"Target","1","1",41.127463412746,-73.859084285908
"Tee","1","0",41.125289912529,-73.858077185808
"Pin","2","0",41.130383013038,-73.856175485618
"Target","2","1",41.129966312997,-73.857057485706
"Tee","2","0",41.128764812876,-73.85960088596
"Pin","3","0",41.129613512961,-73.855089185509
"Tee","3","0",41.130680013068,-73.856129585613
"Pin","4","0",41.128479512848,-73.850644985064
"Target","4","1",41.129106812911,-73.851825785183
"Tee","4","0",41.130389313039,-73.854364685436
"Pin","5","0",41.129868212987,-73.854180185418
"Target","5","1",41.129021312902,-73.853078585308
"Tee","5","0",41.128089812809,-73.850223785022
"Pin","6","0",41.126271812627,-73.853072285307
"Target","6","1",41.127806312781,-73.852851785285
"Tee","6","0",41.129649512965,-73.854590585459
"Pin","7","0",41.127227612723,-73.85129928513
"Tee","7","0",41.125867712587,-73.852787885279
"Pin","8","0",41.123925512393,-73.851140885114
"Target","8","1",41.125319612532,-73.850888885089
"Tee","8","0",41.127620912762,-73.85080068508
"Pin","9","0",41.121177812118,-73.850569385057
"Target","9","1",41.122321712232,-73.850663885066
"Tee","9","0",41.124415112442,-73.851937385194
"Pin","10","0",41.12069901207,-73.848920584892
"Tee","10","0",41.120846612085,-73.85069808507
"Pin","11","0",41.123917412392,-73.849362484936
"Target","11","1",41.122728512273,-73.849715284971
"Tee","11","0",41.120588312059,-73.848587584859
"Pin","12","0",41.127158312716,-73.849764784976
"Target","12","1",41.125142312514,-73.849348084935
"Target","12","2",41.126581412658,-73.849340884934
"Tee","12","0",41.123006612301,-73.850489285049
"Pin","13","0",41.128518212852,-73.846661584666
"Target","13","1",41.128308512831,-73.847978284798
"Tee","13","0",41.127372512737,-73.850590985059
"Pin","14","0",41.128926812893,-73.850551385055
"Target","14","1",41.128819712882,-73.848956584896
"Tee","14","0",41.128748612875,-73.846119784612
"Pin","15","0",41.13089781309,-73.854493385449
"Target","15","1",41.129990612999,-73.852336985234
"Target","15","2",41.13070341307,-73.853739185374
"Tee","15","0",41.129148212915,-73.849491184949
"Pin","16","0",41.130941013094,-73.855963985596
"Tee","16","0",41.130491913049,-73.854483485448
"Pin","17","0",41.129375012938,-73.859091485909
"Target","17","1",41.130214713021,-73.857815285781
"Tee","17","0",41.131787013179,-73.855582385558
"Pin","18","0",41.125627412563,-73.857620885762
"Target","18","1",41.126738012674,-73.858135685813
"Tee","18","0",41.1289970129,-73.858728785873
