"type","hole","numPoint","lat","lon"
"Pin","1","0",51.475141547514,-3.6119622611962
"Target","1","1",51.475765247577,-3.611540161154
"Tee","1","0",51.477913547791,-3.6102081610208
"Pin","2","0",51.473477447348,-3.616459561646
"Target","2","1",51.474217247422,-3.6148314614831
"Tee","2","0",51.475945247595,-3.6123879612388
"Pin","3","0",51.474538547454,-3.61190016119
"Target","3","1",51.474178547418,-3.6132726613273
"Tee","3","0",51.472946447295,-3.6163956616396
"Pin","4","0",51.472905047291,-3.6145344614534
"Target","4","1",51.473344247334,-3.6129261612926
"Tee","4","0",51.474854447485,-3.6101352610135
"Pin","5","0",51.471526247153,-3.6133833613383
"Tee","5","0",51.472428947243,-3.6152184615218
"Pin","6","0",51.471573047157,-3.6087807608781
"Target","6","1",51.471053747105,-3.611589661159
"Target","6","2",51.471553247155,-3.6092829609283
"Tee","6","0",51.470841347084,-3.6146739614674
"Pin","7","0",51.471894347189,-3.6120855612086
"Tee","7","0",51.472089647209,-3.6092181609218
"Pin","8","0",51.472029347203,-3.6073110607311
"Target","8","1",51.472421747242,-3.6088338608834
"Tee","8","0",51.472443347244,-3.612530161253
"Pin","9","0",51.474407147441,-3.6102639610264
"Target","9","1",51.473894147389,-3.6091353609135
"Tee","9","0",51.472345247235,-3.6071715607172
"Pin","10","0",51.475349447535,-3.6095988609599
"Tee","10","0",51.474723947472,-3.6115356611536
"Pin","11","0",51.472280447228,-3.6066756606676
"Target","11","1",51.473374847337,-3.6073866607387
"Tee","11","0",51.475164947517,-3.6093819609382
"Pin","12","0",51.474844547484,-3.6078069607807
"Target","12","1",51.473952647395,-3.6063930606393
"Tee","12","0",51.471663047166,-3.6059997606
"Pin","13","0",51.475029947503,-3.6020433602043
"Target","13","1",51.474910247491,-3.604809960481
"Target","13","2",51.475010147501,-3.6025050602505
"Tee","13","0",51.475028147503,-3.6085017608502
"Pin","14","0",51.475993847599,-3.6003558600356
"Tee","14","0",51.475509647551,-3.6023511602351
"Pin","15","0",51.476461847646,-3.6046074604607
"Target","15","1",51.476388947639,-3.6035112603511
"Tee","15","0",51.47619634762,-3.5998275599828
"Pin","16","0",51.475363847536,-3.6090381609038
"Target","16","1",51.475572647557,-3.6070140607014
"Tee","16","0",51.475886747589,-3.6033519603352
"Pin","17","0",51.476460047646,-3.6052212605221
"Target","17","1",51.476217047622,-3.6069672606967
"Tee","17","0",51.47580484758,-3.6105375610538
"Pin","18","0",51.47770114777,-3.6096231609623
"Target","18","1",51.477279047728,-3.6079554607955
"Tee","18","0",51.476807447681,-3.6043365604337
