"type","hole","numPoint","lat","lon"
"Pin","1","0",36.073778407378,-95.948257194826
"Target","1","1",36.07250490725,-95.947259094726
"Tee","1","0",36.070339507034,-95.946290694629
"Pin","2","0",36.074020507402,-95.952939895294
"Target","2","1",36.074177107418,-95.950859095086
"Tee","2","0",36.074140207414,-95.948010594801
"Pin","3","0",36.073320307332,-95.949013194901
"Target","3","1",36.073117807312,-95.950789795079
"Tee","3","0",36.073875607388,-95.953478995348
"Pin","4","0",36.071059507106,-95.947511094751
"Target","4","1",36.07180200718,-95.947727994773
"Tee","4","0",36.073918807392,-95.948847594885
"Pin","5","0",36.073327507333,-95.953205395321
"Target","5","1",36.072263707226,-95.949710694971
"Target","5","2",36.072993607299,-95.951979595198
"Tee","5","0",36.070677907068,-95.947645194765
"Pin","6","0",36.075009607501,-95.953489795349
"Tee","6","0",36.073413907341,-95.95380119538
"Pin","7","0",36.07490340749,-95.949270594927
"Target","7","1",36.07469550747,-95.950688995069
"Tee","7","0",36.0750006075,-95.95310099531
"Pin","8","0",36.074043007404,-95.947146594715
"Tee","8","0",36.075406507541,-95.948957394896
"Pin","9","0",36.070951507095,-95.946081894608
"Target","9","1",36.072017107202,-95.946194394619
"Tee","9","0",36.073806307381,-95.947340094734
"Pin","10","0",36.071282707128,-95.942267694227
"Target","10","1",36.071586007159,-95.943629394363
"Tee","10","0",36.070573507057,-95.945666094567
"Pin","11","0",36.071521207152,-95.940518994052
"Tee","11","0",36.071007307101,-95.942128194213
"Pin","12","0",36.071887507189,-95.94459599446
"Target","12","1",36.072548107255,-95.942875194288
"Tee","12","0",36.071933407193,-95.940288594029
"Pin","13","0",36.076245307625,-95.946980094698
"Target","13","1",36.074564107456,-95.945374494537
"Target","13","2",36.075849307585,-95.946474294647
"Tee","13","0",36.072316807232,-95.944751694475
"Pin","14","0",36.076876207688,-95.94529619453
"Tee","14","0",36.076869907687,-95.947538094754
"Pin","15","0",36.074138407414,-95.942691594269
"Target","15","1",36.074929507493,-95.943567294357
"Tee","15","0",36.077008507701,-95.944791294479
"Pin","16","0",36.076537807654,-95.946585894659
"Target","16","1",36.075180607518,-95.9449955945
"Tee","16","0",36.073730707373,-95.942782494278
"Pin","17","0",36.074118607412,-95.946427494643
"Target","17","1",36.07480350748,-95.946483294648
"Tee","17","0",36.07680420768,-95.947892694789
"Pin","18","0",36.070962307096,-95.945622894562
"Target","18","1",36.072446407245,-95.945327694533
"Tee","18","0",36.074309407431,-95.9470016947
