"type","hole","numPoint","lat","lon"
"Pin","1","0",54.854577985458,-1.6870906687091
"Tee","1","0",54.85539968554,-1.6888420688842
"Pin","2","0",54.853339585334,-1.6818418681842
"Target","2","1",54.853863385386,-1.6842214684221
"Target","2","2",54.85350068535,-1.6821739682174
"Tee","2","0",54.854377285438,-1.688120268812
"Pin","3","0",54.853016485302,-1.6806610680661
"Tee","3","0",54.854051485405,-1.6823566682357
"Pin","4","0",54.853233385323,-1.6857253685725
"Target","4","1",54.853228885323,-1.6839388683939
"Tee","4","0",54.852565585257,-1.6801084680108
"Pin","5","0",54.852413485241,-1.6840648684065
"Target","5","1",54.85270418527,-1.6852429685243
"Tee","5","0",54.85390478539,-1.6876891687689
"Pin","6","0",54.851960785196,-1.6883110688311
"Target","6","1",54.852073285207,-1.6875334687533
"Tee","6","0",54.851962585196,-1.6838965683897
"Pin","7","0",54.85389578539,-1.6906825690683
"Target","7","1",54.853065085307,-1.6901461690146
"Tee","7","0",54.850958185096,-1.6885306688531
"Pin","8","0",54.853378285338,-1.6954588695459
"Target","8","1",54.853371085337,-1.6940989694099
"Tee","8","0",54.854153185415,-1.6906420690642
"Pin","9","0",54.851294785129,-1.6980337698034
"Target","9","1",54.852041785204,-1.6968907696891
"Tee","9","0",54.854159485416,-1.6953220695322
"Pin","10","0",54.855091885509,-1.6955344695534
"Target","10","1",54.853213585321,-1.6969780696978
"Target","10","2",54.854451985445,-1.695850369585
"Tee","10","0",54.85110038511,-1.6985674698567
"Pin","11","0",54.855084685508,-1.6972048697205
"Tee","11","0",54.855261985526,-1.6951672695167
"Pin","12","0",54.851033785103,-1.6989751698975
"Target","12","1",54.852872485287,-1.6984693698469
"Target","12","2",54.851426185143,-1.6990174699017
"Tee","12","0",54.855124285512,-1.6976368697637
"Pin","13","0",54.851609785161,-1.6935040693504
"Target","13","1",54.851437885144,-1.6953058695306
"Tee","13","0",54.850765585077,-1.6991308699131
"Pin","14","0",54.852150685215,-1.695539869554
"Tee","14","0",54.851885185189,-1.6929055692906
"Pin","15","0",54.853265785327,-1.6913071691307
"Target","15","1",54.852890485289,-1.69229986923
"Tee","15","0",54.852334285233,-1.6960330696033
"Pin","16","0",54.850748485075,-1.6941178694118
"Target","16","1",54.851679085168,-1.6912387691239
"Target","16","2",54.850941085094,-1.6936309693631
"Tee","16","0",54.853391785339,-1.6908535690854
"Pin","17","0",54.85129838513,-1.6889545688955
"Target","17","1",54.85069808507,-1.6902460690246
"Tee","17","0",54.850394785039,-1.6939225693923
"Pin","18","0",54.854910985491,-1.6890013689001
"Target","18","1",54.854127985413,-1.6884640688464
"Tee","18","0",54.851913085191,-1.6887241688724
