"type","hole","numPoint","lat","lon"
"Pin","1","0",53.607361460736,-3.0353538035354
"Tee","1","0",53.605745960575,-3.0348147034815
"Pin","2","0",53.611613061161,-3.0311508031151
"Target","2","1",53.609848160985,-3.0336978033698
"Target","2","2",53.611052361105,-3.0321318032132
"Tee","2","0",53.608031060803,-3.0360837036084
"Pin","3","0",53.614991661499,-3.029549702955
"Target","3","1",53.613965661397,-3.0302688030269
"Tee","3","0",53.61179936118,-3.0315855031586
"Pin","4","0",53.612621961262,-3.0286542028654
"Target","4","1",53.613618261362,-3.028739702874
"Tee","4","0",53.615576661558,-3.0291420029142
"Pin","5","0",53.609377460938,-3.0317115031712
"Target","5","1",53.610607761061,-3.0307530030753
"Tee","5","0",53.612766861277,-3.0294075029408
"Pin","6","0",53.608028360803,-3.0352872035287
"Target","6","1",53.60810036081,-3.033409803341
"Tee","6","0",53.609444960944,-3.0306981030698
"Pin","7","0",53.60810306081,-3.0296325029633
"Target","7","1",53.607256160726,-3.0324810032481
"Target","7","2",53.607942860794,-3.0302706030271
"Tee","7","0",53.607794360779,-3.0359685035969
"Pin","8","0",53.60819846082,-3.0316071031607
"Tee","8","0",53.608365860837,-3.0294984029498
"Pin","9","0",53.611882161188,-3.0280233028023
"Target","9","1",53.609990360999,-3.0293652029365
"Target","9","2",53.611563561156,-3.0281637028164
"Tee","9","0",53.608305560831,-3.0320094032009
"Pin","10","0",53.612124261212,-3.0289782028978
"Tee","10","0",53.610686061069,-3.0294777029478
"Pin","11","0",53.615681961568,-3.0282888028289
"Target","11","1",53.614393161439,-3.0277857027786
"Tee","11","0",53.612090961209,-3.0277335027734
"Pin","12","0",53.612574261257,-3.0266823026682
"Target","12","1",53.613720861372,-3.0262440026244
"Tee","12","0",53.615814261581,-3.0276885027689
"Pin","13","0",53.613548061355,-3.0253332025333
"Tee","13","0",53.612267361227,-3.0256950025695
"Pin","14","0",53.615971761597,-3.0271548027155
"Target","14","1",53.615191461519,-3.0263169026317
"Tee","14","0",53.613284361328,-3.0241425024143
"Pin","15","0",53.615685561569,-3.0300222030022
"Target","15","1",53.616060861606,-3.0291078029108
"Tee","15","0",53.616811461681,-3.0257328025733
"Pin","16","0",53.61149876115,-3.0332811033281
"Target","16","1",53.613317661332,-3.0318411031841
"Target","16","2",53.611963161196,-3.0330111033011
"Tee","16","0",53.615424561542,-3.0302769030277
"Pin","17","0",53.608772660877,-3.036070203607
"Target","17","1",53.610028161003,-3.0349011034901
"Tee","17","0",53.611674261167,-3.0321867032187
"Pin","18","0",53.605871960587,-3.0357939035794
"Target","18","1",53.606746760675,-3.0362916036292
"Tee","18","0",53.608677260868,-3.0364185036419
