"type","hole","numPoint","lat","lon"
"Pin","1","0",57.669570366957,-3.0765423076542
"Target","1","1",57.670179667018,-3.0783855078386
"Tee","1","0",57.671234467123,-3.0822123082212
"Pin","2","0",57.669036666904,-3.0716715071672
"Target","2","1",57.66919776692,-3.0728919072892
"Tee","2","0",57.669432666943,-3.0771750077175
"Pin","3","0",57.668139366814,-3.0666342066634
"Target","3","1",57.668475066847,-3.0685440068544
"Tee","3","0",57.668658666866,-3.0722187072219
"Pin","4","0",57.667407666741,-3.065040306504
"Tee","4","0",57.667708266771,-3.067969806797
"Pin","5","0",57.666210666621,-3.0590967059097
"Target","5","1",57.666690366669,-3.061360206136
"Tee","5","0",57.667022466702,-3.065619906562
"Pin","6","0",57.66589836659,-3.0556209055621
"Target","6","1",57.665605866561,-3.0567567056757
"Tee","6","0",57.666050466605,-3.0603522060352
"Pin","7","0",57.666108066611,-3.0491616049162
"Target","7","1",57.666227766623,-3.0507429050743
"Tee","7","0",57.666612966661,-3.0549882054988
"Pin","8","0",57.665436666544,-3.048539704854
"Tee","8","0",57.666549066655,-3.048619804862
"Pin","9","0",57.666331266633,-3.0547839054784
"Target","9","1",57.665748066575,-3.0515592051559
"Target","9","2",57.666237666624,-3.0542520054252
"Tee","9","0",57.665118066512,-3.0479817047982
"Pin","10","0",57.666460866646,-3.0495054049505
"Target","10","1",57.666555366656,-3.0505089050509
"Tee","10","0",57.666873966687,-3.0546174054617
"Pin","11","0",57.667289766729,-3.0580077058008
"Target","11","1",57.667512966751,-3.0569151056915
"Tee","11","0",57.667192566719,-3.0527292052729
"Pin","12","0",57.667877466788,-3.0636084063608
"Target","12","1",57.667505766751,-3.0617013061701
"Tee","12","0",57.666891066689,-3.0575523057552
"Pin","13","0",57.667835166784,-3.0605025060503
"Tee","13","0",57.668216766822,-3.063409506341
"Pin","14","0",57.668577666858,-3.065619906562
"Target","14","1",57.668547066855,-3.0637983063798
"Tee","14","0",57.668156466816,-3.0596331059633
"Pin","15","0",57.669137466914,-3.0656793065679
"Tee","15","0",57.667969266797,-3.0662373066237
"Pin","16","0",57.66980256698,-3.072909907291
"Target","16","1",57.669438066944,-3.069390006939
"Target","16","2",57.669748566975,-3.072410407241
"Tee","16","0",57.669214866921,-3.0651051065105
"Pin","17","0",57.670485667049,-3.0766710076671
"Target","17","1",57.670249867025,-3.0756081075608
"Tee","17","0",57.669381366938,-3.0719550071955
"Pin","18","0",57.671320867132,-3.0816111081611
"Target","18","1",57.670940167094,-3.0798174079817
"Tee","18","0",57.669879966988,-3.0759951075995
