"type","hole","numPoint","lat","lon"
"Pin","1","0",24.924147092415,103.02707650271
"Target","1","1",24.925405292541,103.02763720276
"Tee","1","0",24.92759589276,103.02842020284
"Pin","2","0",24.926175692618,103.0320112032
"Target","2","1",24.925171292517,103.03091320309
"Tee","2","0",24.924147092415,103.02858850286
"Pin","3","0",24.924874292487,103.03368250337
"Tee","3","0",24.926180192618,103.03293640329
"Pin","4","0",24.919775791978,103.03541230354
"Target","4","1",24.921924992192,103.0339561034
"Target","4","2",24.920436392044,103.03482730348
"Tee","4","0",24.924309992431,103.0339831034
"Pin","5","0",24.923271392327,103.03464010346
"Target","5","1",24.921918692192,103.03491280349
"Tee","5","0",24.919982791998,103.03644820364
"Pin","6","0",24.921529892153,103.03694950369
"Target","6","1",24.921880892188,103.03572100357
"Tee","6","0",24.924149792415,103.03507210351
"Pin","7","0",24.92439549244,103.03558690356
"Target","7","1",24.923476592348,103.03622860362
"Tee","7","0",24.921475892148,103.03766050377
"Pin","8","0",24.925625792563,103.03423780342
"Tee","8","0",24.925205492521,103.03560580356
"Pin","9","0",24.927432992743,103.02960550296
"Target","9","1",24.927259292726,103.03265380327
"Target","9","2",24.927490592749,103.03049200305
"Tee","9","0",24.926054192605,103.03470940347
"Pin","10","0",24.932076093208,103.03015270302
"Target","10","1",24.930968193097,103.03020400302
"Tee","10","0",24.928665992867,103.03016620302
"Pin","11","0",24.935267493527,103.02938860294
"Target","11","1",24.934406193441,103.02960010296
"Tee","11","0",24.932144493214,103.02957310296
"Pin","12","0",24.929998893,103.03119850312
"Target","12","1",24.932293893229,103.03091590309
"Target","12","2",24.930534393053,103.03110760311
"Tee","12","0",24.93460059346,103.03025170303
"Pin","13","0",24.928430192843,103.03205980321
"Tee","13","0",24.930079893008,103.03181860318
"Pin","14","0",24.931222893122,103.03218580322
"Target","14","1",24.930487593049,103.03261060326
"Tee","14","0",24.92820429282,103.03293370329
"Pin","15","0",24.936018993602,103.02937780294
"Target","15","1",24.934144293414,103.03147030315
"Target","15","2",24.935610393561,103.030013203
"Tee","15","0",24.931993293199,103.03260700326
"Pin","16","0",24.936717393672,103.02869110287
"Tee","16","0",24.935109093511,103.02879820288
"Pin","17","0",24.933358593336,103.02707650271
"Target","17","1",24.934515093451,103.02791800279
"Tee","17","0",24.936731793673,103.02806020281
"Pin","18","0",24.928785692879,103.02656620266
"Target","18","1",24.93020499302,103.02706210271
"Tee","18","0",24.932589993259,103.02708730271
