"type","hole","numPoint","lat","lon"
"Pin","1","0",40.336340833634,-74.662219166222
"Target","1","1",40.335690133569,-74.661041066104
"Tee","1","0",40.333693033369,-74.660693666069
"Pin","2","0",40.33910473391,-74.664005666401
"Target","2","1",40.33850083385,-74.663822066382
"Tee","2","0",40.336418233642,-74.662664666266
"Pin","3","0",40.336622533662,-74.661320966132
"Target","3","1",40.337612533761,-74.662487366249
"Tee","3","0",40.339709533971,-74.663732066373
"Pin","4","0",40.340268434027,-74.66290046629
"Target","4","1",40.338380233838,-74.662047266205
"Target","4","2",40.339711333971,-74.662767266277
"Tee","4","0",40.336313833631,-74.66059646606
"Pin","5","0",40.342189934219,-74.663024666302
"Tee","5","0",40.340611334061,-74.663287466329
"Pin","6","0",40.340564534056,-74.663941766394
"Target","6","1",40.341024434102,-74.663978666398
"Tee","6","0",40.342921634292,-74.663265866327
"Pin","7","0",40.338873433887,-74.664705866471
"Tee","7","0",40.340241434024,-74.663955266396
"Pin","8","0",40.336005133601,-74.662782566278
"Target","8","1",40.336879033688,-74.663937266394
"Tee","8","0",40.339006633901,-74.665091966509
"Pin","9","0",40.333445533345,-74.661248966125
"Target","9","1",40.334632633463,-74.661473066147
"Tee","9","0",40.336019533602,-74.663536766354
"Pin","10","0",40.337530633753,-74.657423965742
"Target","10","1",40.336787233679,-74.658413065841
"Tee","10","0",40.334712733471,-74.659725265973
"Pin","11","0",40.337463133746,-74.659175365918
"Tee","11","0",40.337927533793,-74.657292565729
"Pin","12","0",40.340061434006,-74.661254366125
"Target","12","1",40.338616933862,-74.660359766036
"Target","12","2",40.339768933977,-74.661073466107
"Tee","12","0",40.336472233647,-74.659258165926
"Pin","13","0",40.341175634118,-74.660042066004
"Tee","13","0",40.340382734038,-74.661246266125
"Pin","14","0",40.33880053388,-74.658252865825
"Target","14","1",40.339322533932,-74.659110565911
"Tee","14","0",40.341146834115,-74.659765765977
"Pin","15","0",40.340374634037,-74.66029946603
"Target","15","1",40.339124533912,-74.65970276597
"Tee","15","0",40.338194833819,-74.657479765748
"Pin","16","0",40.3430035343,-74.662715966272
"Target","16","1",40.34239603424,-74.662242566224
"Tee","16","0",40.340284634028,-74.661039266104
"Pin","17","0",40.337759233776,-74.66070446607
"Target","17","1",40.339922833992,-74.661889766189
"Target","17","2",40.338283033828,-74.661023066102
"Tee","17","0",40.342244834224,-74.66260346626
"Pin","18","0",40.334990833499,-74.66019686602
"Target","18","1",40.335665833567,-74.659871965987
"Tee","18","0",40.337508133751,-74.660433566043
