"type","hole","numPoint","lat","lon"
"Pin","1","0",-37.949127494913,145.13143331314
"Target","1","1",-37.950425295043,145.13122991312
"Tee","1","0",-37.952332395233,145.13220551322
"Pin","2","0",-37.951862595186,145.13084561308
"Target","2","1",-37.950786195079,145.13040731304
"Tee","2","0",-37.948491194849,145.13064401306
"Pin","3","0",-37.953239595324,145.12879631288
"Tee","3","0",-37.952564595256,145.13029571303
"Pin","4","0",-37.953685995369,145.12436021244
"Target","4","1",-37.953853395385,145.12561211256
"Tee","4","0",-37.953178395318,145.12790891279
"Pin","5","0",-37.95249529525,145.12452941245
"Tee","5","0",-37.953670695367,145.12365191237
"Pin","6","0",-37.95279769528,145.12813661281
"Target","6","1",-37.9530001953,145.1269936127
"Tee","6","0",-37.952135295214,145.12428731243
"Pin","7","0",-37.948618094862,145.12977011298
"Target","7","1",-37.950637695064,145.12953611295
"Target","7","2",-37.948963694896,145.12979081298
"Tee","7","0",-37.952857095286,145.12875581288
"Pin","8","0",-37.948812494881,145.13336381334
"Target","8","1",-37.948488494849,145.13236481324
"Tee","8","0",-37.948174394817,145.12947221295
"Pin","9","0",-37.952074095207,145.13263481326
"Target","9","1",-37.950690795069,145.13289041329
"Tee","9","0",-37.948522694852,145.13387681339
"Pin","10","0",-37.953478095348,145.13146481315
"Tee","10","0",-37.953110895311,145.13292191329
"Pin","11","0",-37.954229595423,145.12864871286
"Target","11","1",-37.953891195389,145.12944611294
"Tee","11","0",-37.953941595394,145.13215691322
"Pin","12","0",-37.958268795827,145.12560761256
"Target","12","1",-37.956445395645,145.12675601268
"Target","12","2",-37.9580032958,145.12581191258
"Tee","12","0",-37.954383495438,145.12805651281
"Pin","13","0",-37.956094395609,145.12452131245
"Target","13","1",-37.957053795705,145.12434041243
"Tee","13","0",-37.958915895892,145.12556441256
"Pin","14","0",-37.957754895776,145.12361681236
"Tee","14","0",-37.956043995604,145.12420451242
"Pin","15","0",-37.95430339543,145.12385621239
"Target","15","1",-37.95540139554,145.12385351239
"Tee","15","0",-37.957646895765,145.12320911232
"Pin","16","0",-37.956877395688,145.12491281249
"Target","16","1",-37.955626395563,145.12542311254
"Tee","16","0",-37.953653595365,145.12391741239
"Pin","17","0",-37.953973095397,145.12772351277
"Target","17","1",-37.955589495559,145.12649501265
"Target","17","2",-37.954147695415,145.12749851275
"Tee","17","0",-37.957610895761,145.12509731251
"Pin","18","0",-37.952636595264,145.13213801321
"Target","18","1",-37.953137895314,145.13080331308
"Tee","18","0",-37.953838095384,145.1280214128
