"type","hole","numPoint","lat","lon"
"Pin","1","0",56.348651934865,-2.810659781066
"Target","1","1",56.348151534815,-2.809859680986
"Tee","1","0",56.345960934596,-2.8085789808579
"Pin","2","0",56.35180103518,-2.8111772811177
"Target","2","1",56.351118835112,-2.8112384811238
"Tee","2","0",56.348984934898,-2.8104455810446
"Pin","3","0",56.355892435589,-2.8123175812318
"Target","3","1",56.35380173538,-2.8112852811285
"Target","3","2",56.35549913555,-2.8121762812176
"Tee","3","0",56.351632735163,-2.8098875809888
"Pin","4","0",56.358022735802,-2.8135622813562
"Target","4","1",56.357468335747,-2.8130231813023
"Tee","4","0",56.35540193554,-2.8111907811191
"Pin","5","0",56.35929803593,-2.8154909815491
"Tee","5","0",56.358366535837,-2.8140230814023
"Pin","6","0",56.362055636206,-2.8189046818905
"Target","6","1",56.360877536088,-2.8165331816533
"Target","6","2",56.361941336194,-2.8184969818497
"Tee","6","0",56.358974035897,-2.8141949814195
"Pin","7","0",56.363624336362,-2.8228268822827
"Target","7","1",56.363318336332,-2.821160082116
"Tee","7","0",56.362055636206,-2.8177733817773
"Pin","8","0",56.366138936614,-2.8206110820611
"Target","8","1",56.365358636536,-2.8207748820775
"Tee","8","0",56.363669336367,-2.8235990823599
"Pin","9","0",56.364943736494,-2.8187390818739
"Tee","9","0",56.366249636625,-2.8201205820121
"Pin","10","0",56.362406636241,-2.8146782814678
"Target","10","1",56.363547836355,-2.8159175815918
"Tee","10","0",56.365274036527,-2.8186688818669
"Pin","11","0",56.364685436469,-2.8206911820691
"Target","11","1",56.363654936365,-2.8176779817678
"Target","11","2",56.364668336467,-2.8202024820202
"Tee","11","0",56.362016936202,-2.8146512814651
"Pin","12","0",56.361749636175,-2.8145279814528
"Target","12","1",56.362775636278,-2.8176617817662
"Target","12","2",56.361831536183,-2.8154144815414
"Tee","12","0",56.364370436437,-2.8207613820761
"Pin","13","0",56.361509336151,-2.8165745816575
"Tee","13","0",56.361605636161,-2.813819681382
"Pin","14","0",56.358061435806,-2.8129610812961
"Target","14","1",56.35930073593,-2.8136639813664
"Tee","14","0",56.361265436127,-2.8158311815831
"Pin","15","0",56.355553135555,-2.8132076813208
"Target","15","1",56.356458535646,-2.813320181332
"Tee","15","0",56.358245935825,-2.8146458814646
"Pin","16","0",56.352129535213,-2.8121780812178
"Target","16","1",56.35309973531,-2.8127873812787
"Tee","16","0",56.35540193554,-2.8128134812813
"Pin","17","0",56.350340335034,-2.8094474809447
"Tee","17","0",56.351933335193,-2.8106273810627
"Pin","18","0",56.34689783469,-2.8082135808214
"Target","18","1",56.348158734816,-2.8085681808568
"Tee","18","0",56.350450135045,-2.8089785808979
