"type","hole","numPoint","lat","lon"
"Pin","1","0",50.550261855026,-4.923339792334
"Target","1","1",50.548675154868,-4.9213345921335
"Target","1","2",50.549953154995,-4.9231615923162
"Tee","1","0",50.547126254713,-4.9186534918653
"Pin","2","0",50.549714654971,-4.9187551918755
"Target","2","1",50.550109755011,-4.9207684920768
"Tee","2","0",50.550655155066,-4.9242892924289
"Pin","3","0",50.552388555239,-4.9196218919622
"Target","3","1",50.551261755126,-4.9182961918296
"Tee","3","0",50.549092754909,-4.9179613917961
"Pin","4","0",50.554263255426,-4.9222642922264
"Target","4","1",50.554093155409,-4.9215505921551
"Tee","4","0",50.552565855257,-4.9196866919687
"Pin","5","0",50.553469455347,-4.924010292401
"Tee","5","0",50.554675455468,-4.9229347922935
"Pin","6","0",50.551727055173,-4.9196947919695
"Target","6","1",50.552012355201,-4.9213183921318
"Tee","6","0",50.552985255299,-4.9240957924096
"Pin","7","0",50.551105155111,-4.9245358924536
"Target","7","1",50.551253655125,-4.9230481923048
"Tee","7","0",50.550957555096,-4.919520191952
"Pin","8","0",50.551967355197,-4.9234684923468
"Tee","8","0",50.551214955122,-4.9249966924997
"Pin","9","0",50.554938255494,-4.9257022925702
"Target","9","1",50.553977055398,-4.9252234925223
"Tee","9","0",50.551838655184,-4.9245628924563
"Pin","10","0",50.557843455784,-4.9223659922366
"Target","10","1",50.556110955611,-4.9231534923153
"Tee","10","0",50.554742055474,-4.9251127925113
"Pin","11","0",50.559241155924,-4.9243936924394
"Tee","11","0",50.55839875584,-4.921719792172
"Pin","12","0",50.560554256055,-4.9208692920869
"Target","12","1",50.560050256005,-4.9220635922064
"Tee","12","0",50.559646155965,-4.9254340925434
"Pin","13","0",50.557263855726,-4.9201825920183
"Target","13","1",50.558233155823,-4.9200016920002
"Tee","13","0",50.560357156036,-4.9203886920389
"Pin","14","0",50.555219055522,-4.9228114922811
"Target","14","1",50.555929155593,-4.9218520921852
"Tee","14","0",50.558064855806,-4.9208989920899
"Pin","15","0",50.554478355448,-4.924859892486
"Tee","15","0",50.555249655525,-4.9231489923149
"Pin","16","0",50.550269955027,-4.925509692551
"Target","16","1",50.552568555257,-4.92580039258
"Target","16","2",50.550842355084,-4.9258957925896
"Tee","16","0",50.554822155482,-4.9260856926086
"Pin","17","0",50.549626454963,-4.9241524924152
"Tee","17","0",50.551154655115,-4.9252783925278
"Pin","18","0",50.547284654728,-4.9195867919587
"Target","18","1",50.548082054808,-4.9216477921648
"Tee","18","0",50.549459054946,-4.9245520924552
