"type","hole","numPoint","lat","lon"
"Pin","1","0",33.190843219084,-96.688552268855
"Target","1","1",33.190648819065,-96.690008469001
"Tee","1","0",33.1890027189,-96.691479969148
"Pin","2","0",33.190953019095,-96.686250968625
"Tee","2","0",33.19120231912,-96.688319168832
"Pin","3","0",33.187332318733,-96.68309916831
"Target","3","1",33.189353718935,-96.682459268246
"Target","3","2",33.187911918791,-96.682859768286
"Tee","3","0",33.190512919051,-96.684721868472
"Pin","4","0",33.187112718711,-96.678121267812
"Target","4","1",33.187138818714,-96.67950276795
"Tee","4","0",33.186937218694,-96.682243268224
"Pin","5","0",33.182443518244,-96.677525467753
"Target","5","1",33.183909618391,-96.678018667802
"Tee","5","0",33.186280218628,-96.67770006777
"Pin","6","0",33.179814617981,-96.680154368015
"Target","6","1",33.179939717994,-96.67890426789
"Tee","6","0",33.181709118171,-96.677560567756
"Pin","7","0",33.183484818348,-96.684674168467
"Target","7","1",33.181158318116,-96.684666068467
"Target","7","2",33.182915118291,-96.684909068491
"Tee","7","0",33.179928917993,-96.682340468234
"Pin","8","0",33.183582018358,-96.686420168642
"Tee","8","0",33.184118418412,-96.684909968491
"Pin","9","0",33.18640351864,-96.688769168877
"Target","9","1",33.185221818522,-96.68829936883
"Tee","9","0",33.183274218327,-96.686741468674
