"type","hole","numPoint","lat","lon"
"Pin","1","0",50.950945495095,-1.3878235387824
"Target","1","1",50.950274095027,-1.3904767390477
"Target","1","2",50.950823095082,-1.3882249388225
"Tee","1","0",50.949680994968,-1.3940083394008
"Pin","2","0",50.951678095168,-1.3851010385101
"Tee","2","0",50.951365795137,-1.3875364387536
"Pin","3","0",50.950722295072,-1.3902859390286
"Target","3","1",50.951164195116,-1.3894777389478
"Tee","3","0",50.952185695219,-1.3863484386348
"Pin","4","0",50.953156795316,-1.3870315387032
"Target","4","1",50.952257695226,-1.3887847388785
"Tee","4","0",50.950670095067,-1.3914307391431
"Pin","5","0",50.955777595578,-1.3859587385959
"Target","5","1",50.955164695516,-1.3861414386141
"Tee","5","0",50.953208995321,-1.3857148385715
"Pin","6","0",50.955953095595,-1.3922974392297
"Target","6","1",50.956223995622,-1.3892545389255
"Target","6","2",50.956121395612,-1.391729539173
"Tee","6","0",50.956135795614,-1.3857985385799
"Pin","7","0",50.955669595567,-1.3948615394862
"Tee","7","0",50.956449895645,-1.3921741392174
"Pin","8","0",50.955331195533,-1.3972807397281
"Tee","8","0",50.955510295551,-1.3951909395191
"Pin","9","0",50.953153195315,-1.3935871393587
"Target","9","1",50.953679695368,-1.3945879394588
"Tee","9","0",50.955059395506,-1.3975138397514
"Pin","10","0",50.95329899533,-1.3916638391664
"Tee","10","0",50.952832795283,-1.3940272394027
"Pin","11","0",50.954872195487,-1.3963339396334
"Target","11","1",50.954487895449,-1.3948453394845
"Tee","11","0",50.95359779536,-1.3914739391474
"Pin","12","0",50.95569839557,-1.3901329390133
"Target","12","1",50.955346495535,-1.3931065393107
"Target","12","2",50.955707395571,-1.3906261390626
"Tee","12","0",50.955122395512,-1.3967443396744
"Pin","13","0",50.955521995552,-1.3868470386847
"Target","13","1",50.955468895547,-1.3872961387296
"Tee","13","0",50.955378895538,-1.3903606390361
"Pin","14","0",50.954984695498,-1.3928707392871
"Target","14","1",50.954653495465,-1.3904119390412
"Target","14","2",50.954774995478,-1.392360439236
"Tee","14","0",50.955042295504,-1.3868092386809
"Pin","15","0",50.953866895387,-1.3886254388625
"Target","15","1",50.953873195387,-1.3904551390455
"Tee","15","0",50.954577895458,-1.3938661393866
"Pin","16","0",50.954589595459,-1.3875013387501
"Tee","16","0",50.954162095416,-1.3890385389039
"Pin","17","0",50.952678895268,-1.3902184390218
"Target","17","1",50.952986695299,-1.3890853389085
"Tee","17","0",50.95480109548,-1.3868335386834
"Pin","18","0",50.949944694994,-1.3940839394084
"Target","18","1",50.951333395133,-1.3929868392987
"Target","18","2",50.950152595015,-1.3939075393908
"Tee","18","0",50.953056895306,-1.3905631390563
