"type","hole","numPoint","lat","lon"
"Pin","1","0",40.15310261531,-75.789863478986
"Target","1","1",40.151585215159,-75.788274978828
"Target","1","2",40.152730015273,-75.789227178923
"Tee","1","0",40.150811215081,-75.785437278544
"Pin","2","0",40.154252815425,-75.792376279238
"Target","2","1",40.153194415319,-75.791594179159
"Tee","2","0",40.151687815169,-75.789316278932
"Pin","3","0",40.153092715309,-75.786492078649
"Target","3","1",40.153651615365,-75.789466578947
"Target","3","2",40.15320251532,-75.786951978695
"Tee","3","0",40.154447215445,-75.792293479229
"Pin","4","0",40.153166515317,-75.783248478325
"Target","4","1",40.153653415365,-75.784314978431
"Tee","4","0",40.153739815374,-75.787325478733
"Pin","5","0",40.152913615291,-75.784289778429
"Tee","5","0",40.152465415247,-75.782275578228
"Pin","6","0",40.151224315122,-75.781344078134
"Target","6","1",40.151813815181,-75.782807478281
"Tee","6","0",40.152850615285,-75.785617278562
"Pin","7","0",40.150357615036,-75.781070478107
"Tee","7","0",40.151692315169,-75.780681678068
"Pin","8","0",40.151046115105,-75.785225778523
"Target","8","1",40.151155015116,-75.783661578366
"Tee","8","0",40.150004815,-75.781113678111
"Pin","9","0",40.149291114929,-75.783739878374
"Tee","9","0",40.150726615073,-75.785080878508
"Pin","10","0",40.146669414667,-75.784080078408
"Target","10","1",40.147926714793,-75.783513978351
"Tee","10","0",40.150146115015,-75.782712078271
"Pin","11","0",40.15090301509,-75.788629578863
"Target","11","1",40.148930214893,-75.786582978658
"Target","11","2",40.150336015034,-75.788157078816
"Tee","11","0",40.146993414699,-75.784954878495
"Pin","12","0",40.152528415253,-75.792223279222
"Target","12","1",40.152173815217,-75.791580679158
"Tee","12","0",40.151108215111,-75.789093078909
"Pin","13","0",40.149529614953,-75.788559378856
"Target","13","1",40.150716715072,-75.79030447903
"Tee","13","0",40.152286315229,-75.792652579265
"Pin","14","0",40.150136215014,-75.79229617923
"Target","14","1",40.150018315002,-75.791080279108
"Tee","14","0",40.149076014908,-75.788391078839
"Pin","15","0",40.148680014868,-75.792360079236
"Tee","15","0",40.150181215018,-75.79269847927
"Pin","16","0",40.148233614823,-75.786733278673
"Target","16","1",40.14870071487,-75.788582778858
"Tee","16","0",40.148859114886,-75.791587879159
"Pin","17","0",40.146524514652,-75.785052978505
"Tee","17","0",40.146884514688,-75.786512778651
"Pin","18","0",40.150027315003,-75.785319378532
"Target","18","1",40.148619714862,-75.784925178492
"Tee","18","0",40.146347214635,-75.784440078444
