"type","hole","numPoint","lat","lon"
"Pin","1","0",40.328184132818,-78.942730294273
"Target","1","1",40.327039332704,-78.943278394328
"Tee","1","0",40.325116932512,-78.945036994504
"Pin","2","0",40.324933332493,-78.943540294354
"Target","2","1",40.325935932594,-78.942552994255
"Tee","2","0",40.328184132818,-78.942230794223
"Pin","3","0",40.323361032336,-78.940230094023
"Target","3","1",40.323667032367,-78.941243494124
"Tee","3","0",40.324684032468,-78.943953394395
"Pin","4","0",40.324984632498,-78.937118793712
"Target","4","1",40.32470293247,-78.938350893835
"Tee","4","0",40.324164732416,-78.941286694129
"Pin","5","0",40.326454332645,-78.938972793897
"Tee","5","0",40.32549943255,-78.937217793722
"Pin","6","0",40.324594032459,-78.942544894254
"Target","6","1",40.324815432482,-78.940947394095
"Tee","6","0",40.326777432678,-78.939366993937
"Pin","7","0",40.326127632613,-78.941329894133
"Tee","7","0",40.324755132476,-78.943173094317
"Pin","8","0",40.3290004329,-78.941729494173
"Target","8","1",40.328191332819,-78.941789794179
"Tee","8","0",40.325970132597,-78.940651294065
"Pin","9","0",40.324594032459,-78.946925194693
"Target","9","1",40.326570432657,-78.944569894457
"Target","9","2",40.325072832507,-78.946256494626
"Tee","9","0",40.328585532859,-78.94289679429
"Pin","10","0",40.324280832428,-78.949494694949
"Tee","10","0",40.324837032484,-78.947836894784
"Pin","11","0",40.321147932115,-78.947217694722
"Target","11","1",40.323114432311,-78.947663194766
"Target","11","2",40.321482732148,-78.94739589474
"Tee","11","0",40.324223232422,-78.950186795019
"Pin","12","0",40.322506032251,-78.94369869437
"Target","12","1",40.322135232214,-78.945119794512
"Tee","12","0",40.320540432054,-78.947373394737
"Pin","13","0",40.32249523225,-78.938725293873
"Target","13","1",40.322232432223,-78.940093294009
"Tee","13","0",40.322015532202,-78.94310019431
"Pin","14","0",40.324252032425,-78.936891093689
"Tee","14","0",40.322679732268,-78.938180793818
"Pin","15","0",40.322464632246,-78.942579994258
"Target","15","1",40.322918232292,-78.939324693932
"Target","15","2",40.322642832264,-78.9419976942
"Tee","15","0",40.324575132458,-78.9370008937
"Pin","16","0",40.32370033237,-78.942930994293
"Tee","16","0",40.322264832226,-78.943073194307
"Pin","17","0",40.321630332163,-78.946667794667
"Target","17","1",40.322777832278,-78.94560219456
"Tee","17","0",40.324055832406,-78.943089394309
"Pin","18","0",40.32460213246,-78.94589739459
"Target","18","1",40.323753432375,-78.946123294612
"Tee","18","0",40.321694232169,-78.947056594706
