"type","hole","numPoint","lat","lon"
"Pin","1","0",51.383955338396,-0.63150756315076
"Target","1","1",51.385723838572,-0.63146436314644
"Tee","1","0",51.388020638802,-0.63171636317164
"Pin","2","0",51.384952538495,-0.63625776362578
"Target","2","1",51.384191138419,-0.63390966339097
"Tee","2","0",51.382727738273,-0.63106116310612
"Pin","3","0",51.38380143838,-0.63941676394168
"Target","3","1",51.384151538415,-0.63888756388876
"Tee","3","0",51.385650938565,-0.63653946365395
"Pin","4","0",51.383233538323,-0.63776256377626
"Tee","4","0",51.38359713836,-0.6396849639685
"Pin","5","0",51.38209863821,-0.64175856417586
"Target","5","1",51.382475738248,-0.64009716400972
"Tee","5","0",51.383175038317,-0.63658176365818
"Pin","6","0",51.380709038071,-0.64612266461227
"Target","6","1",51.381193238119,-0.64425606442561
"Tee","6","0",51.381807038181,-0.64076856407686
"Pin","7","0",51.377489737749,-0.64541166454117
"Target","7","1",51.378612037861,-0.64523256452326
"Tee","7","0",51.380688338069,-0.64649166464917
"Pin","8","0",51.377431237743,-0.64628106462811
"Tee","8","0",51.376488937649,-0.64425066442507
"Pin","9","0",51.375391837539,-0.64400406440041
"Target","9","1",51.375814837581,-0.64469346446935
"Tee","9","0",51.377071237707,-0.64639356463936
"Pin","10","0",51.37860483786,-0.64058676405868
"Target","10","1",51.377307037731,-0.64229406422941
"Tee","10","0",51.37519743752,-0.64377276437728
"Pin","11","0",51.3809988381,-0.64054626405463
"Target","11","1",51.380738738074,-0.64101156410116
"Tee","11","0",51.378527437853,-0.64132926413293
"Pin","12","0",51.382554038255,-0.63638646363865
"Target","12","1",51.381794438179,-0.63811086381109
"Tee","12","0",51.381123938112,-0.64164066416407
"Pin","13","0",51.383710538371,-0.63404466340447
"Tee","13","0",51.382987838299,-0.63619026361903
"Pin","14","0",51.380933138093,-0.62866986286699
"Target","14","1",51.382192238219,-0.63143376314338
"Target","14","2",51.381172538117,-0.62928366292837
"Tee","14","0",51.383111138311,-0.63423276342328
"Pin","15","0",51.37979643798,-0.62597886259789
"Tee","15","0",51.380574938057,-0.62881746288175
"Pin","16","0",51.382391138239,-0.62859156285916
"Target","16","1",51.381506438151,-0.62720826272083
"Tee","16","0",51.379914337991,-0.62454156245416
"Pin","17","0",51.385362938536,-0.63066516306652
"Target","17","1",51.383970638397,-0.63045726304573
"Tee","17","0",51.382043738204,-0.62897226289723
"Pin","18","0",51.388119638812,-0.63093336309334
"Target","18","1",51.386954138695,-0.63101166310117
"Tee","18","0",51.384786938479,-0.6297669629767
