"type","hole","numPoint","lat","lon"
"Pin","1","0",53.393556539356,-6.1126845112685
"Target","1","1",53.394091139409,-6.113190311319
"Tee","1","0",53.395629239563,-6.1151523115152
"Pin","2","0",53.39250263925,-6.1113030111303
"Target","2","1",53.393383739338,-6.1115253111525
"Tee","2","0",53.394487139449,-6.1142694114269
"Pin","3","0",53.391465839147,-6.1051929105193
"Target","3","1",53.39139833914,-6.1081782108178
"Target","3","2",53.391466739147,-6.1059057105906
"Tee","3","0",53.391721439172,-6.1120005112001
"Pin","4","0",53.390953739095,-6.1081539108154
"Target","4","1",53.390968139097,-6.1065690106569
"Tee","4","0",53.391261539126,-6.1037853103785
"Pin","5","0",53.391366839137,-6.1117593111759
"Tee","5","0",53.390789039079,-6.1095111109511
"Pin","6","0",53.392211039221,-6.1104687110469
"Tee","6","0",53.392190339219,-6.1119420111942
"Pin","7","0",53.392120139212,-6.106510510651
"Target","7","1",53.392147139215,-6.1077462107746
"Tee","7","0",53.392910339291,-6.1110213111021
"Pin","8","0",53.393925539393,-6.1111878111188
"Target","8","1",53.393310839331,-6.1104534110453
"Tee","8","0",53.392772639277,-6.1067706106771
"Pin","9","0",53.39540333954,-6.1137951113795
"Target","9","1",53.39479763948,-6.112969811297
"Tee","9","0",53.393505239351,-6.1097748109775
