"type","hole","numPoint","lat","lon"
"Pin","1","0",51.386489738649,-0.68212356821236
"Target","1","1",51.387351938735,-0.68134236813424
"Tee","1","0",51.389394938939,-0.6799509679951
"Pin","2","0",51.383951738395,-0.68165646816565
"Target","2","1",51.384619538462,-0.68180136818014
"Tee","2","0",51.386877638688,-0.68252316825232
"Pin","3","0",51.382612538261,-0.68500356850036
"Target","3","1",51.383028338303,-0.68429346842935
"Tee","3","0",51.38340273834,-0.68152506815251
"Pin","4","0",51.382922138292,-0.68726256872626
"Tee","4","0",51.382379438238,-0.68506566850657
"Pin","5","0",51.380074538007,-0.68371656837166
"Target","5","1",51.381546038155,-0.68493606849361
"Target","5","2",51.380367938037,-0.68385606838561
"Tee","5","0",51.382918538292,-0.68773146877315
"Pin","6","0",51.377908237791,-0.68809146880915
"Target","6","1",51.378654337865,-0.68662446866245
"Tee","6","0",51.379784737978,-0.68341056834106
"Pin","7","0",51.376160437616,-0.6926319692632
"Target","7","1",51.376892137689,-0.6909129690913
"Tee","7","0",51.377657137766,-0.68814186881419
"Pin","8","0",51.375588037559,-0.69434646943465
"Tee","8","0",51.375932737593,-0.69250056925006
"Pin","9","0",51.378264637826,-0.6966819696682
"Target","9","1",51.377715637772,-0.6949359694936
"Tee","9","0",51.375539437554,-0.69475956947596
"Pin","10","0",51.379955737996,-0.69516726951673
"Tee","10","0",51.378678637868,-0.69691326969133
"Pin","11","0",51.380664038066,-0.69232416923242
"Target","11","1",51.380486738049,-0.69258516925852
"Tee","11","0",51.380329238033,-0.69600066960007
"Pin","12","0",51.376551937655,-0.69322506932251
"Target","12","1",51.377816437782,-0.69322506932251
"Tee","12","0",51.380058338006,-0.69274446927445
"Pin","13","0",51.377892937789,-0.69156186915619
"Tee","13","0",51.376629337663,-0.69259956925996
"Pin","14","0",51.380718938072,-0.69176616917662
"Target","14","1",51.37979643798,-0.69188316918832
"Tee","14","0",51.377715637772,-0.69230526923053
"Pin","15","0",51.383357738336,-0.68829216882922
"Target","15","1",51.382311938231,-0.68971236897124
"Tee","15","0",51.381135638114,-0.6928839692884
"Pin","16","0",51.385049738505,-0.68334936833494
"Target","16","1",51.384337838434,-0.68466426846643
"Tee","16","0",51.38320203832,-0.68787366878737
"Pin","17","0",51.386665238667,-0.68302446830245
"Tee","17","0",51.385310738531,-0.68358516835852
"Pin","18","0",51.389269838927,-0.68047116804712
"Target","18","1",51.388431938843,-0.68121276812128
"Tee","18","0",51.386949638695,-0.68339976833998
