"type","hole","numPoint","lat","lon"
"Pin","1","0",36.204210920421,140.33283263328
"Target","1","1",36.205240520524,140.33345993335
"Tee","1","0",36.207306020731,140.33472083347
"Pin","2","0",36.206856020686,140.33383253338
"Target","2","1",36.205288220529,140.33241773324
"Target","2","2",36.206407820641,140.33306033331
"Tee","2","0",36.203012120301,140.3319902332
"Pin","3","0",36.207531020753,140.33387843339
"Tee","3","0",36.206563520656,140.33241143324
"Pin","4","0",36.205577120558,140.33043683304
"Target","4","1",36.206359220636,140.33158973316
"Tee","4","0",36.207805520781,140.33347073335
"Pin","5","0",36.203508020351,140.33029733303
"Target","5","1",36.204577220458,140.33050883305
"Tee","5","0",36.206042420604,140.32857833286
"Pin","6","0",36.205879520588,140.32793753279
"Target","6","1",36.205258520526,140.32871423287
"Tee","6","0",36.20320022032,140.32974473297
"Pin","7","0",36.207009920701,140.32764773276
"Target","7","1",36.207249320725,140.3270186327
"Tee","7","0",36.205429520543,140.32562813256
"Pin","8","0",36.206340320634,140.32962953296
"Tee","8","0",36.206245820625,140.32781963278
"Pin","9","0",36.207851420785,140.33457593346
"Target","9","1",36.207537320754,140.33186153319
"Target","9","2",36.208215020822,140.33371823337
"Tee","9","0",36.205786820579,140.32993013299
"Pin","10","0",36.207139520714,140.34043403404
"Target","10","1",36.207977420798,140.33941163394
"Tee","10","0",36.208786520879,140.33674043367
"Pin","11","0",36.207959420796,140.33757473376
"Target","11","1",36.207531920753,140.33868353387
"Tee","11","0",36.205823720582,140.34051953405
"Pin","12","0",36.204643820464,140.34043133404
"Target","12","1",36.205789520579,140.33873933387
"Target","12","2",36.204751820475,140.33965643397
"Tee","12","0",36.207743420774,140.33722823372
"Pin","13","0",36.204280220428,140.34245093425
"Tee","13","0",36.204249620425,140.34013883401
"Pin","14","0",36.201155420116,140.34367133437
"Target","14","1",36.202245320225,140.34344903434
"Tee","14","0",36.204317120432,140.3430458343
"Pin","15","0",36.19770031977,140.34162203416
"Target","15","1",36.198724519872,140.34289193429
"Tee","15","0",36.200922320092,140.34327983433
"Pin","16","0",36.200009720001,140.34213413421
"Tee","16","0",36.19839511984,140.34176153418
"Pin","17","0",36.203882420388,140.339993934
"Target","17","1",36.203111120311,140.3419739342
"Target","17","2",36.203628620363,140.34030893403
"Tee","17","0",36.201042020104,140.34322583432
"Pin","18","0",36.206594120659,140.33694653369
"Target","18","1",36.205435820544,140.33761703376
"Tee","18","0",36.203741120374,140.33954843395
