"type","hole","numPoint","lat","lon"
"Pin","1","0",41.482482848248,-81.456831945683
"Target","1","1",41.482814048281,-81.457819245782
"Tee","1","0",41.483893148389,-81.460219546022
"Pin","2","0",41.481875348188,-81.452175345218
"Target","2","1",41.482993148299,-81.454149045415
"Target","2","2",41.482079648208,-81.452594745259
"Tee","2","0",41.482108448211,-81.456987645699
"Pin","3","0",41.484011948401,-81.451853145185
"Target","3","1",41.48349984835,-81.452026845203
"Tee","3","0",41.481332648133,-81.451161945116
"Pin","4","0",41.486465348647,-81.448894844889
"Target","4","1",41.485814648581,-81.449608544961
"Tee","4","0",41.484320648432,-81.451874745187
"Pin","5","0",41.48590194859,-81.451569645157
"Tee","5","0",41.486583248658,-81.449480744948
"Pin","6","0",41.489049248905,-81.449034344903
"Target","6","1",41.487674048767,-81.449431244943
"Tee","6","0",41.48629614863,-81.451893645189
"Pin","7","0",41.486945048695,-81.45309514531
"Target","7","1",41.487952148795,-81.451215945122
"Tee","7","0",41.489708048971,-81.449061344906
"Pin","8","0",41.483479148348,-81.455508945551
"Target","8","1",41.484742748474,-81.453053745305
"Target","8","2",41.483525948353,-81.454610745461
"Tee","8","0",41.487049448705,-81.452248245225
"Pin","9","0",41.483822948382,-81.457883145788
"Tee","9","0",41.48329644833,-81.455951745595
"Pin","10","0",41.48720064872,-81.457486245749
"Target","10","1",41.486283548628,-81.457815645782
"Tee","10","0",41.484007448401,-81.458280045828
"Pin","11","0",41.488761248876,-81.457416045742
"Tee","11","0",41.487421148742,-81.458223345822
"Pin","12","0",41.484276548428,-81.456115545612
"Target","12","1",41.486554448655,-81.456321645632
"Target","12","2",41.484727448473,-81.455482845548
"Tee","12","0",41.488925948893,-81.456657345666
"Pin","13","0",41.48649684865,-81.453883545388
"Target","13","1",41.485450148545,-81.454009545401
"Tee","13","0",41.483694248369,-81.455912145591
"Pin","14","0",41.487323048732,-81.455385645539
"Tee","14","0",41.48740314874,-81.453055545306
"Pin","15","0",41.48940024894,-81.451531845153
"Target","15","1",41.488487648849,-81.452914245291
"Tee","15","0",41.487774848777,-81.455951745595
"Pin","16","0",41.489923148992,-81.457263945726
"Target","16","1",41.489008748901,-81.454833945483
"Target","16","2",41.489783648978,-81.456894045689
"Tee","16","0",41.489846648985,-81.451853145185
"Pin","17","0",41.487893648789,-81.458676945868
"Target","17","1",41.488789148879,-81.459026145903
"Tee","17","0",41.49069804907,-81.457407945741
"Pin","18","0",41.484732848473,-81.4589964459
"Target","18","1",41.486091848609,-81.458946945895
"Tee","18","0",41.488373348837,-81.459870345987
