"type","hole","numPoint","lat","lon"
"Pin","1","0",36.068332506833,-87.085423508542
"Target","1","1",36.068150706815,-87.086919308692
"Tee","1","0",36.069023706902,-87.089610308961
"Pin","2","0",36.071044207104,-87.082475108248
"Target","2","1",36.070131607013,-87.083566808357
"Tee","2","0",36.068659206866,-87.085823108582
"Pin","3","0",36.07090380709,-87.087477308748
"Target","3","1",36.070773307077,-87.085791608579
"Tee","3","0",36.071653507165,-87.083159108316
"Pin","4","0",36.071022607102,-87.090530109053
"Tee","4","0",36.071181007118,-87.088647308865
"Pin","5","0",36.072986407299,-87.084058208406
"Target","5","1",36.072862207286,-87.087054308705
"Target","5","2",36.073041307304,-87.084929408493
"Tee","5","0",36.071536507154,-87.089194508919
"Pin","6","0",36.075289507529,-87.081509408151
"Target","6","1",36.074271607427,-87.082240208224
"Tee","6","0",36.073426507343,-87.084835808484
"Pin","7","0",36.071230507123,-87.081732608173
"Target","7","1",36.073366207337,-87.081729908173
"Target","7","2",36.072010807201,-87.081817208182
"Tee","7","0",36.075371407537,-87.080436608044
"Pin","8","0",36.068993106899,-87.083618108362
"Tee","8","0",36.069882306988,-87.081762308176
"Pin","9","0",36.070248607025,-87.089883908988
"Target","9","1",36.069583506958,-87.088191008819
"Tee","9","0",36.069340506934,-87.085358708536
"Pin","10","0",36.069565506957,-87.092772009277
"Tee","10","0",36.068915706892,-87.090943209094
"Pin","11","0",36.064715406472,-87.092880009288
"Target","11","1",36.066927606693,-87.093023109302
"Target","11","2",36.065346306535,-87.092692809269
"Tee","11","0",36.069208206921,-87.092632509263
"Pin","12","0",36.066483006648,-87.093711609371
"Target","12","1",36.065946606595,-87.093889809389
"Tee","12","0",36.063827106383,-87.092914209291
"Pin","13","0",36.063837906384,-87.095636709564
"Target","13","1",36.065149206515,-87.095022009502
"Tee","13","0",36.067328106733,-87.09410310941
"Pin","14","0",36.064208706421,-87.093770109377
"Tee","14","0",36.063282606328,-87.095293809529
"Pin","15","0",36.060260406026,-87.09430380943
"Target","15","1",36.061457406146,-87.093755709376
"Tee","15","0",36.063753306375,-87.093539709354
"Pin","16","0",36.059733005973,-87.091557009156
"Tee","16","0",36.060010206001,-87.093963609396
"Pin","17","0",36.064336506434,-87.092125809213
"Target","17","1",36.061733706173,-87.092075409208
"Target","17","2",36.063693906369,-87.092365209237
"Tee","17","0",36.059507105951,-87.091017909102
"Pin","18","0",36.068471106847,-87.091772109177
"Target","18","1",36.067088706709,-87.09129780913
"Tee","18","0",36.064887306489,-87.092131209213
