"type","hole","numPoint","lat","lon"
"Pin","1","0",-28.072716407272,153.36734043673
"Target","1","1",-28.073335607334,153.36765183677
"Tee","1","0",-28.075619807562,153.3679794368
"Pin","2","0",-28.071982907198,153.37033923703
"Target","2","1",-28.071729107173,153.36888933689
"Tee","2","0",-28.07239690724,153.36639093664
"Pin","3","0",-28.073944907394,153.37181973718
"Tee","3","0",-28.072449107245,153.37126263713
"Pin","4","0",-28.071824507182,153.37237503724
"Target","4","1",-28.072517507252,153.37219323722
"Tee","4","0",-28.074706307471,153.37283673728
"Pin","5","0",-28.071371807137,153.37050573705
"Tee","5","0",-28.071511307151,153.37223553722
"Pin","6","0",-28.07040160704,153.37305093731
"Target","6","1",-28.069862506986,153.37078563708
"Target","6","2",-28.070206307021,153.37246503725
"Tee","6","0",-28.070562707056,153.36854553685
"Pin","7","0",-28.0690030069,153.36845643685
"Target","7","1",-28.069030906903,153.37107813711
"Target","7","2",-28.069187506919,153.36884883688
"Tee","7","0",-28.069530406953,153.37362513736
"Pin","8","0",-28.071345707135,153.36548733655
"Target","8","1",-28.070992907099,153.36678423668
"Tee","8","0",-28.069829206983,153.3690360369
"Pin","9","0",-28.076315507632,153.36675903668
"Target","9","1",-28.075416407542,153.36614163661
"Tee","9","0",-28.073317607332,153.36506883651
"Pin","10","0",-28.072674107267,153.36993153699
"Target","10","1",-28.073514707351,153.37028973703
"Tee","10","0",-28.075764707576,153.36973623697
"Pin","11","0",-28.076048207605,153.37326333733
"Target","11","1",-28.074893507489,153.37142283714
"Target","11","2",-28.075713407571,153.3730383373
"Tee","11","0",-28.072668707267,153.37074693707
"Pin","12","0",-28.080448308045,153.37484823748
"Target","12","1",-28.078486307849,153.3749832375
"Target","12","2",-28.079990207999,153.37523973752
"Tee","12","0",-28.076463107646,153.37373763737
"Pin","13","0",-28.08190360819,153.37805403781
"Tee","13","0",-28.081167408117,153.37618383762
"Pin","14","0",-28.081853208185,153.37568793757
"Target","14","1",-28.082310408231,153.37705503771
"Tee","14","0",-28.082863908286,153.37958763796
"Pin","15","0",-28.079957807996,153.37163253716
"Target","15","1",-28.080658908066,153.37311663731
"Tee","15","0",-28.081450908145,153.37556733756
"Pin","16","0",-28.079517707952,153.37443783744
"Target","16","1",-28.079865107987,153.37380513738
"Tee","16","0",-28.079224307922,153.37149303715
"Pin","17","0",-28.077816707782,153.37361973736
"Tee","17","0",-28.07909920791,153.37364403736
"Pin","18","0",-28.076059907606,153.37007103701
"Target","18","1",-28.076016707602,153.37167933717
"Tee","18","0",-28.077471107747,153.37370343737
