"type","hole","numPoint","lat","lon"
"Pin","1","0",42.085242608524,-87.825981382598
"Target","1","1",42.087437708744,-87.826392682639
"Target","1","2",42.085984208598,-87.825786982579
"Tee","1","0",42.089664308966,-87.827182882718
"Pin","2","0",42.083845808385,-87.821863882186
"Target","2","1",42.083717108372,-87.823275082328
"Tee","2","0",42.084542408454,-87.826171282617
"Pin","3","0",42.083791808379,-87.825913882591
"Target","3","1",42.083184308318,-87.824093182409
"Tee","3","0",42.082740608274,-87.820935982094
"Pin","4","0",42.083668508367,-87.827316982732
"Tee","4","0",42.084725108473,-87.826227982623
"Pin","5","0",42.08240040824,-87.821907082191
"Target","5","1",42.082505708251,-87.82470338247
"Target","5","2",42.082043108204,-87.82240388224
"Tee","5","0",42.083277908328,-87.827743582774
"Pin","6","0",42.08050140805,-87.827506882751
"Target","6","1",42.080226008023,-87.825430582543
"Tee","6","0",42.081639908164,-87.822912382291
"Pin","7","0",42.084743108474,-87.831412883141
"Target","7","1",42.083364308336,-87.830514683051
"Tee","7","0",42.081224108122,-87.82909808291
"Pin","8","0",42.086644808664,-87.832525283253
"Target","8","1",42.086078708608,-87.831258083126
"Tee","8","0",42.083949308395,-87.830076383008
"Pin","9","0",42.088093808809,-87.831567683157
"Tee","9","0",42.086929208693,-87.83339738334
"Pin","10","0",42.087072308707,-87.828783982878
"Target","10","1",42.087639308764,-87.829152082915
"Tee","10","0",42.088660808866,-87.831683783168
"Pin","11","0",42.085437908544,-87.827917282792
"Tee","11","0",42.087225308723,-87.828075682808
"Pin","12","0",42.087615908762,-87.830937683094
"Target","12","1",42.086855408686,-87.829774882977
"Tee","12","0",42.084793508479,-87.82839518284
"Pin","13","0",42.084928508493,-87.82959668296
"Target","13","1",42.085874408587,-87.830013383001
"Tee","13","0",42.087480008748,-87.831742283174
"Pin","14","0",42.081685808169,-87.827853382785
"Target","14","1",42.08359920836,-87.829426582943
"Target","14","2",42.082046708205,-87.828408682841
"Tee","14","0",42.085728608573,-87.829164682916
"Pin","15","0",42.081168308117,-87.82510388251
"Target","15","1",42.080814608081,-87.826293682629
"Tee","15","0",42.081313208131,-87.828923482892
"Pin","16","0",42.082970108297,-87.827891182789
"Target","16","1",42.081975608198,-87.826550182655
"Tee","16","0",42.081715508172,-87.823467682347
"Pin","17","0",42.084677408468,-87.827354782735
"Tee","17","0",42.083338208334,-87.828711982871
"Pin","18","0",42.089263808926,-87.827665282767
"Target","18","1",42.087013808701,-87.827234182723
"Target","18","2",42.088538408854,-87.828065782807
"Tee","18","0",42.084655808466,-87.826750882675
