"type","hole","numPoint","lat","lon"
"Pin","1","0",51.221247022125,-2.5452209545221
"Target","1","1",51.221629522163,-2.545089554509
"Tee","1","0",51.223470922347,-2.5444028544403
"Pin","2","0",51.218775621878,-2.5447079544708
"Target","2","1",51.219657621966,-2.5448276544828
"Tee","2","0",51.221706022171,-2.544549554455
"Pin","3","0",51.219370521937,-2.5495976549598
"Target","3","1",51.219213921921,-2.5477031547703
"Tee","3","0",51.218411121841,-2.5443272544327
"Pin","4","0",51.219424521942,-2.5560812556081
"Target","4","1",51.219365121937,-2.5529177552918
"Target","4","2",51.219357021936,-2.5554116555412
"Tee","4","0",51.219151821915,-2.5493888549389
"Pin","5","0",51.220887022089,-2.5589549558955
"Target","5","1",51.220239022024,-2.5587785558779
"Tee","5","0",51.219316521932,-2.556370155637
"Pin","6","0",51.219781821978,-2.5543289554329
"Target","6","1",51.219819621982,-2.5560866556087
"Tee","6","0",51.221136322114,-2.5586930558693
"Pin","7","0",51.219950121995,-2.5495607549561
"Target","7","1",51.21979892198,-2.5517513551751
"Tee","7","0",51.220159822016,-2.555249655525
"Pin","8","0",51.219555021956,-2.5469039546904
"Tee","8","0",51.219637821964,-2.5491611549161
"Pin","9","0",51.223758022376,-2.545589954559
"Target","9","1",51.221679022168,-2.5458815545882
"Target","9","2",51.223439422344,-2.5456277545628
"Tee","9","0",51.219392121939,-2.5463171546317
"Pin","10","0",51.220213822021,-2.5481873548187
"Target","10","1",51.221554822155,-2.547249554725
"Tee","10","0",51.223659022366,-2.5463459546346
"Pin","11","0",51.220473022047,-2.5540589554059
"Target","11","1",51.220248022025,-2.5527647552765
"Tee","11","0",51.220328122033,-2.5492223549222
"Pin","12","0",51.221012122101,-2.5554530555453
"Tee","12","0",51.220729522073,-2.5532993553299
"Pin","13","0",51.221959822196,-2.5575428557543
"Target","13","1",51.221428822143,-2.5574825557483
"Tee","13","0",51.220229122023,-2.5547366554737
"Pin","14","0",51.221037322104,-2.5537610553761
"Target","14","1",51.221722222172,-2.5553315555332
"Tee","14","0",51.223123522312,-2.5580819558082
"Pin","15","0",51.220655722066,-2.5497074549707
"Target","15","1",51.220772722077,-2.5511933551193
"Tee","15","0",51.221758222176,-2.5540742554074
"Pin","16","0",51.223143322314,-2.5469534546953
"Target","16","1",51.22189682219,-2.5479344547934
"Tee","16","0",51.219810621981,-2.549150354915
"Pin","17","0",51.224523022452,-2.5466339546634
"Tee","17","0",51.223521322352,-2.5474385547439
"Pin","18","0",51.224286322429,-2.5437611543761
"Target","18","1",51.224306122431,-2.5443029544303
"Tee","18","0",51.224808322481,-2.5468724546872
