"type","hole","numPoint","lat","lon"
"Pin","1","0",-38.457731045773,144.8770149877
"Target","1","1",-38.459635445964,144.87872048787
"Target","1","2",-38.458258445826,144.87738938774
"Tee","1","0",-38.461145646115,144.88050158805
"Pin","2","0",-38.454323645432,144.87406388741
"Target","2","1",-38.45530284553,144.8750034875
"Tee","2","0",-38.457327845733,144.87640298764
"Pin","3","0",-38.452849445285,144.87450668745
"Tee","3","0",-38.454158045416,144.87333488733
"Pin","4","0",-38.449049644905,144.8739648874
"Target","4","1",-38.450384345038,144.87359318736
"Tee","4","0",-38.452509245251,144.87472718747
"Pin","5","0",-38.451238445124,144.87575408758
"Target","5","1",-38.450558945056,144.87533828753
"Tee","5","0",-38.448419644842,144.87425198743
"Pin","6","0",-38.448154144815,144.87485588749
"Target","6","1",-38.449326844933,144.87533738753
"Tee","6","0",-38.451179045118,144.87647588765
"Pin","7","0",-38.451314045131,144.87875288788
"Target","7","1",-38.449156744916,144.87736508774
"Target","7","2",-38.450817245082,144.87852338785
"Tee","7","0",-38.447715844772,144.87507278751
"Pin","8","0",-38.454907745491,144.88173548817
"Target","8","1",-38.453672045367,144.88124138812
"Tee","8","0",-38.451775745178,144.87957368796
"Pin","9","0",-38.456732945673,144.88173818817
"Tee","9","0",-38.454983345498,144.88226108823
"Pin","10","0",-38.453393045339,144.8790129879
"Target","10","1",-38.455489145549,144.88065278807
"Target","10","2",-38.453725145373,144.87952238795
"Tee","10","0",-38.45770134577,144.88146728815
"Pin","11","0",-38.451566045157,144.87833708783
"Tee","11","0",-38.453033945303,144.87869348787
"Pin","12","0",-38.454191345419,144.87864038786
"Target","12","1",-38.453151845315,144.87784748778
"Tee","12","0",-38.450933345093,144.87728588773
"Pin","13","0",-38.456718545672,144.88013438801
"Target","13","1",-38.456618645662,144.87971858797
"Tee","13","0",-38.454351545435,144.87920918792
"Pin","14","0",-38.458282745828,144.8809974881
"Tee","14","0",-38.456888645689,144.88064378806
"Pin","15","0",-38.455584545558,144.87789698779
"Target","15","1",-38.456449445645,144.87833348783
"Tee","15","0",-38.458188245819,144.88026038803
"Pin","16","0",-38.452523645252,144.87606278761
"Target","16","1",-38.453556845356,144.87639398764
"Tee","16","0",-38.45569794557,144.87747578775
"Pin","17","0",-38.45610474561,144.8769933877
"Target","17","1",-38.454411845441,144.87545618755
"Target","17","2",-38.455967045597,144.87641288764
"Tee","17","0",-38.452114145211,144.87526088753
"Pin","18","0",-38.459648045965,144.88082108808
"Target","18","1",-38.458482545848,144.87924338792
"Tee","18","0",-38.457033545703,144.8769582877
