"type","hole","numPoint","lat","lon"
"Pin","1","0",-38.464613346461,144.88306298831
"Target","1","1",-38.463839346384,144.88280468828
"Tee","1","0",-38.461572246157,144.88229348823
"Pin","2","0",-38.46179904618,144.88333928833
"Target","2","1",-38.463264246326,144.88379648838
"Tee","2","0",-38.465564646556,144.88392158839
"Pin","3","0",-38.459881145988,144.88764668876
"Target","3","1",-38.460809946081,144.88677188868
"Tee","3","0",-38.461431846143,144.88394048839
"Pin","4","0",-38.459450945945,144.88889678889
"Tee","4","0",-38.460826146083,144.88822088882
"Pin","5","0",-38.463728646373,144.88981928898
"Target","5","1",-38.46210054621,144.88846748885
"Target","5","2",-38.463383946338,144.88960598896
"Tee","5","0",-38.459883845988,144.88926128893
"Pin","6","0",-38.466646446665,144.88759088876
"Target","6","1",-38.466192846619,144.88842248884
"Tee","6","0",-38.46420384642,144.88990298899
"Pin","7","0",-38.466757146676,144.8849835885
"Tee","7","0",-38.467528446753,144.88621748862
"Pin","8","0",-38.462517246252,144.88741628874
"Target","8","1",-38.4640040464,144.88587098859
"Target","8","2",-38.462834946283,144.88742258874
"Tee","8","0",-38.466183846618,144.88492418849
"Pin","9","0",-38.465873346587,144.88682858868
"Target","9","1",-38.464589046459,144.88723178872
"Tee","9","0",-38.462353446235,144.88793378879
"Pin","10","0",-38.46449994645,144.89117108912
"Target","10","1",-38.466534846653,144.88954478895
"Target","10","2",-38.464852746485,144.89064908906
"Tee","10","0",-38.467333146733,144.88689878869
"Pin","11","0",-38.468059446806,144.88892918889
"Target","11","1",-38.467442046744,144.88992188899
"Tee","11","0",-38.465281146528,144.89093798909
"Pin","12","0",-38.469645246965,144.89142128914
"Target","12","1",-38.469305046931,144.89110538911
"Tee","12","0",-38.468657946866,144.88828298883
"Pin","13","0",-38.467807446781,144.89150408915
"Tee","13","0",-38.469563346956,144.89191178919
"Pin","14","0",-38.464562946456,144.89170208917
"Target","14","1",-38.465527746553,144.89280548928
"Tee","14","0",-38.467774146777,144.89215838922
"Pin","15","0",-38.45960394596,144.89046098905
"Target","15","1",-38.460690246069,144.88994078899
"Tee","15","0",-38.462618046262,144.8909946891
"Pin","16","0",-38.457978545798,144.88880858888
"Tee","16","0",-38.459192645919,144.889977689
"Pin","17","0",-38.460633546063,144.88484678848
"Target","17","1",-38.458451045845,144.8859573886
"Target","17","2",-38.460259146026,144.88545698855
"Tee","17","0",-38.457518645752,144.88847288885
"Pin","18","0",-38.461145646115,144.8819550882
"Target","18","1",-38.461143846114,144.88314938831
"Tee","18","0",-38.459652545965,144.8849565885
