"type","hole","numPoint","lat","lon"
"Pin","1","0",42.75170347517,-83.036384303638
"Target","1","1",42.752871675287,-83.036419403642
"Tee","1","0",42.755172075517,-83.036271803627
"Pin","2","0",42.750012375001,-83.036347403635
"Tee","2","0",42.751254375125,-83.035013603501
"Pin","3","0",42.744290174429,-83.033847203385
"Target","3","1",42.746184674618,-83.035704803571
"Target","3","2",42.744747374475,-83.03440070344
"Tee","3","0",42.748479674848,-83.036585903659
"Pin","4","0",42.747029774703,-83.034936203494
"Target","4","1",42.746137874614,-83.034731903473
"Tee","4","0",42.744323474432,-83.033088503309
"Pin","5","0",42.748249274825,-83.032720403272
"Tee","5","0",42.747067574707,-83.034287303429
"Pin","6","0",42.751149975115,-83.028375202838
"Target","6","1",42.751171575117,-83.031143603114
"Target","6","2",42.751144575114,-83.029016002902
"Tee","6","0",42.749584874958,-83.033415203342
"Pin","7","0",42.751855575186,-83.030861903086
"Target","7","1",42.752270475227,-83.029349002935
"Tee","7","0",42.750947475095,-83.027061202706
"Pin","8","0",42.754029975403,-83.031237203124
"Target","8","1",42.753264075326,-83.032263203226
"Tee","8","0",42.751390275139,-83.032621403262
"Pin","9","0",42.755374575537,-83.034290003429
"Target","9","1",42.754863375486,-83.032633103263
"Tee","9","0",42.754634775463,-83.029512802951
"Pin","10","0",42.754244175424,-83.042028204203
"Target","10","1",42.754794975479,-83.040509004051
"Tee","10","0",42.755052375505,-83.037618203762
"Pin","11","0",42.750484875048,-83.04729590473
"Target","11","1",42.751866375187,-83.044379004438
"Target","11","2",42.750777375078,-83.046620904662
"Tee","11","0",42.753919275392,-83.042728404273
"Pin","12","0",42.748292474829,-83.048012304801
"Tee","12","0",42.749509274951,-83.047333704733
"Pin","13","0",42.749781074978,-83.049766404977
"Target","13","1",42.748947674895,-83.049465804947
"Tee","13","0",42.747026174703,-83.047843104784
"Pin","14","0",42.751769175177,-83.049755604976
"Tee","14","0",42.750188775019,-83.049927504993
"Pin","15","0",42.753561075356,-83.043924504392
"Target","15","1",42.751961775196,-83.045648904565
"Target","15","2",42.753319875332,-83.044107204411
"Tee","15","0",42.751288575129,-83.048588304859
"Pin","16","0",42.755516775552,-83.046560604656
"Target","16","1",42.755244975525,-83.045118804512
"Tee","16","0",42.75380137538,-83.043285504329
"Pin","17","0",42.75439987544,-83.042731104273
"Target","17","1",42.75529807553,-83.043931704393
"Tee","17","0",42.756164775616,-83.046957504696
"Pin","18","0",42.755906475591,-83.038044803805
"Target","18","1",42.755810175581,-83.039476703948
"Tee","18","0",42.754860675486,-83.042333304233
