"type","hole","numPoint","lat","lon"
"Pin","1","0",47.004777200478,16.139659313966
"Tee","1","0",47.004242600424,16.137505613751
"Pin","2","0",47.004063500406,16.141906614191
"Target","2","1",47.003532500353,16.141286514129
"Tee","2","0",47.004111200411,16.138143713814
"Pin","3","0",47.005680800568,16.145034114503
"Target","3","1",47.005968800597,16.143817314382
"Tee","3","0",47.004293900429,16.141678914168
"Pin","4","0",47.009343800934,16.141048014105
"Target","4","1",47.00789570079,16.143186414319
"Target","4","2",47.009042300904,16.141372914137
"Tee","4","0",47.005985900599,16.145071914507
"Pin","5","0",47.0059985006,16.142276514228
"Target","5","1",47.007177500718,16.142568114257
"Tee","5","0",47.00879750088,16.140913914091
"Pin","6","0",47.004244400424,16.140790614079
"Tee","6","0",47.005688000569,16.142536614254
"Pin","7","0",47.007208100721,16.13869631387
"Target","7","1",47.006167700617,16.138561313856
"Tee","7","0",47.004742100474,16.140562914056
"Pin","8","0",47.010055701006,16.140136314014
"Target","8","1",47.008892000889,16.14040001404
"Tee","8","0",47.006750900675,16.139159813916
"Pin","9","0",47.005062500506,16.137626213763
"Target","9","1",47.007331400733,16.138066313807
"Target","9","2",47.00590310059,16.13749661375
"Tee","9","0",47.009340200934,16.139835713984
