"type","hole","numPoint","lat","lon"
"Pin","1","0",51.826684282668,-2.7906905790691
"Target","1","1",51.825751882575,-2.7902891790289
"Tee","1","0",51.82389608239,-2.7880841788084
"Pin","2","0",51.823971682397,-2.7898886789889
"Target","2","1",51.824616082462,-2.7905717790572
"Tee","2","0",51.826709482671,-2.7912782791278
"Pin","3","0",51.821321182132,-2.7908489790849
"Target","3","1",51.822357082236,-2.7909110790911
"Tee","3","0",51.824004982401,-2.7889229788923
"Pin","4","0",51.822321082232,-2.7894863789486
"Tee","4","0",51.821125882113,-2.7904115790412
"Pin","5","0",51.819478881948,-2.7918578791858
"Target","5","1",51.820833382083,-2.7896681789668
"Target","5","2",51.820062082006,-2.791139679114
"Tee","5","0",51.822594682259,-2.7872687787269
"Pin","6","0",51.815966181597,-2.7886259788626
"Target","6","1",51.816905781691,-2.7900065790007
"Tee","6","0",51.818882181888,-2.7919163791916
"Pin","7","0",51.819561681956,-2.7907283790728
"Target","7","1",51.817645581765,-2.7897626789763
"Target","7","2",51.818824581882,-2.7905447790545
"Tee","7","0",51.815894181589,-2.7873434787343
"Pin","8","0",51.820124182012,-2.7886682788668
"Tee","8","0",51.819071181907,-2.7899912789991
"Pin","9","0",51.822365182237,-2.7869141786914
"Target","9","1",51.821790982179,-2.787310178731
"Tee","9","0",51.819720981972,-2.7881777788178
"Pin","10","0",51.823912282391,-2.7809039780904
"Target","10","1",51.82340468234,-2.7822017782202
"Tee","10","0",51.823256182326,-2.785919678592
"Pin","11","0",51.822474982247,-2.7830279783028
"Target","11","1",51.822807982281,-2.7817724781772
"Tee","11","0",51.824053582405,-2.7796484779648
"Pin","12","0",51.81990368199,-2.7772157777216
"Target","12","1",51.820855882086,-2.7799886779989
"Target","12","2",51.819924381992,-2.7777962777796
"Tee","12","0",51.821988982199,-2.7832313783231
"Pin","13","0",51.818732781873,-2.776950277695
"Tee","13","0",51.820246582025,-2.7763760776376
"Pin","14","0",51.816068781607,-2.7807131780713
"Target","14","1",51.816836481684,-2.7802010780201
"Tee","14","0",51.818058681806,-2.7774434777443
"Pin","15","0",51.819081081908,-2.7822179782218
"Target","15","1",51.818255781826,-2.7806186780619
"Tee","15","0",51.816029181603,-2.7815636781564
"Pin","16","0",51.818045181805,-2.7786827778683
"Target","16","1",51.818861481886,-2.7797780779778
"Tee","16","0",51.819885681989,-2.7827381782738
"Pin","17","0",51.82140398214,-2.7828614782861
"Target","17","1",51.819831681983,-2.7804521780452
"Target","17","2",51.821047582105,-2.7826193782619
"Tee","17","0",51.818245881825,-2.7777521777752
"Pin","18","0",51.822647782265,-2.7859457785946
"Tee","18","0",51.821738782174,-2.7833789783379
