"type","hole","numPoint","lat","lon"
"Pin","1","0",51.662866266287,-0.21498482149848
"Tee","1","0",51.663357666336,-0.21298052129805
"Pin","2","0",51.664630266463,-0.21801242180124
"Target","2","1",51.663414366341,-0.21717632171763
"Tee","2","0",51.662373966237,-0.21520982152098
"Pin","3","0",51.661871766187,-0.2160810216081
"Target","3","1",51.663868866387,-0.21852542185254
"Target","3","2",51.662547666255,-0.21694772169477
"Tee","3","0",51.665849766585,-0.21941552194155
"Pin","4","0",51.66380136638,-0.21963512196351
"Tee","4","0",51.662424366242,-0.21779282177928
"Pin","5","0",51.668313066831,-0.22296692229669
"Target","5","1",51.666440166644,-0.2207520220752
"Target","5","2",51.667965666797,-0.22243952224395
"Tee","5","0",51.664179366418,-0.22004822200482
"Pin","6","0",51.670951867095,-0.21976652197665
"Target","6","1",51.669761166976,-0.22106792210679
"Tee","6","0",51.668691066869,-0.22374182237418
"Pin","7","0",51.669389466939,-0.21870452187045
"Tee","7","0",51.670338067034,-0.21968642196864
"Pin","8","0",51.665022666502,-0.21655622165562
"Target","8","1",51.666909066691,-0.21793592179359
"Target","8","2",51.66539706654,-0.21689282168928
"Tee","8","0",51.669069966907,-0.21748142174814
"Pin","9","0",51.664854366485,-0.21019952101995
"Target","9","1",51.664977666498,-0.2122650212265
"Tee","9","0",51.66479856648,-0.21596582159658
"Pin","10","0",51.664255866426,-0.21513692151369
"Target","10","1",51.664416966442,-0.21328292132829
"Tee","10","0",51.664124466412,-0.2096010209601
"Pin","11","0",51.668661366866,-0.21659132165913
"Target","11","1",51.666523866652,-0.21538622153862
"Target","11","2",51.668276166828,-0.21610982161098
"Tee","11","0",51.664245966425,-0.21592892159289
"Pin","12","0",51.666828966683,-0.21353852135385
"Tee","12","0",51.668310366831,-0.21544562154456
"Pin","13","0",51.670120267012,-0.21419282141928
"Target","13","1",51.668387766839,-0.21413792141379
"Target","13","2",51.669780966978,-0.21432332143233
"Tee","13","0",51.666832566683,-0.21196982119698
"Pin","14","0",51.669391266939,-0.21650762165076
"Tee","14","0",51.67030296703,-0.21465452146545
"Pin","15","0",51.668561466856,-0.22281122228112
"Target","15","1",51.668473266847,-0.22082672208267
"Tee","15","0",51.669175266918,-0.21756962175696
"Pin","16","0",51.664936266494,-0.21766682176668
"Target","16","1",51.666790266679,-0.21920492192049
"Target","16","2",51.665481666548,-0.21782882178288
"Tee","16","0",51.66819516682,-0.22214612221461
"Pin","17","0",51.663312666331,-0.21560942156094
"Tee","17","0",51.664558266456,-0.21729692172969
"Pin","18","0",51.663342366334,-0.21048392104839
"Target","18","1",51.663769866377,-0.21252512125251
"Tee","18","0",51.664075866408,-0.21620522162052
