"type","hole","numPoint","lat","lon"
"Pin","1","0",-32.742864574286,151.32542743254
"Target","1","1",-32.742446074245,151.32472723247
"Tee","1","0",-32.74040397404,151.32368953237
"Pin","2","0",-32.743191274319,151.32925333293
"Target","2","1",-32.742234574223,151.32862153286
"Tee","2","0",-32.742088774209,151.32613393261
"Pin","3","0",-32.745131674513,151.32567043257
"Target","3","1",-32.744889574489,151.32751633275
"Tee","3","0",-32.743444174344,151.32911383291
"Pin","4","0",-32.747522974752,151.32340333234
"Target","4","1",-32.746650874665,151.32356173236
"Tee","4","0",-32.74579767458,151.32583873258
"Pin","5","0",-32.746620274662,151.32111013211
"Tee","5","0",-32.747410474741,151.32242773224
"Pin","6","0",-32.742954574295,151.32381103238
"Target","6","1",-32.743673674367,151.32238003224
"Tee","6","0",-32.745646474565,151.3209679321
"Pin","7","0",-32.742217474222,151.31721313172
"Target","7","1",-32.742285874229,151.31986633199
"Target","7","2",-32.74220037422,151.31776753178
"Tee","7","0",-32.742636874264,151.32257263226
"Pin","8","0",-32.739690273969,151.31815453182
"Tee","8","0",-32.741323774132,151.31753803175
"Pin","9","0",-32.739254673925,151.3229668323
"Target","9","1",-32.739185373919,151.32125143213
"Tee","9","0",-32.738905473891,151.31873143187
"Pin","10","0",-32.733959973396,151.32641293264
"Target","10","1",-32.736425073643,151.32536173254
"Target","10","2",-32.734961673496,151.32614203261
"Tee","10","0",-32.738718273872,151.32511513251
"Pin","11","0",-32.730760473076,151.32577753258
"Target","11","1",-32.732018673202,151.32534733253
"Tee","11","0",-32.734320873432,151.32542653254
"Pin","12","0",-32.729609372961,151.32455443246
"Tee","12","0",-32.730320373032,151.32616093262
"Pin","13","0",-32.730211473021,151.32130093213
"Target","13","1",-32.729864072986,151.32175453218
"Tee","13","0",-32.728745372875,151.32414673241
"Pin","14","0",-32.734349673435,151.31950903195
"Target","14","1",-32.732881773288,151.32105703211
"Target","14","2",-32.734054473405,151.31961703196
"Tee","14","0",-32.730579573058,151.3209976321
"Pin","15","0",-32.7369983737,151.31919223192
"Target","15","1",-32.736210873621,151.31883313188
"Tee","15","0",-32.734135473414,151.31919223192
"Pin","16","0",-32.734280373428,151.32139723214
"Target","16","1",-32.735243373524,151.32038743204
"Tee","16","0",-32.737418673742,151.31948743195
"Pin","17","0",-32.735651973565,151.32330163233
"Tee","17","0",-32.734187673419,151.32249973225
"Pin","18","0",-32.73879927388,151.32468853247
"Target","18","1",-32.737709373771,151.32438883244
"Tee","18","0",-32.735780673578,151.32289573229
