"type","hole","numPoint","lat","lon"
"Pin","1","0",33.762417976242,-79.029475002948
"Target","1","1",33.763207276321,-79.028127702813
"Tee","1","0",33.765007276501,-79.026739902674
"Pin","2","0",33.759873675987,-79.03460410346
"Target","2","1",33.760825876083,-79.033381003338
"Tee","2","0",33.762565576257,-79.032259603226
"Pin","3","0",33.760215676022,-79.036435603644
"Tee","3","0",33.760857376086,-79.035518503552
"Pin","4","0",33.75710257571,-79.037814403781
"Target","4","1",33.758027775803,-79.03739770374
"Tee","4","0",33.760113076011,-79.037672203767
"Pin","5","0",33.762019276202,-79.03929760393
"Target","5","1",33.759961875996,-79.039090603909
"Target","5","2",33.761337976134,-79.038436303844
"Tee","5","0",33.757811775781,-79.038664903866
"Pin","6","0",33.764744476474,-79.035606703561
"Target","6","1",33.763839076384,-79.036705603671
"Tee","6","0",33.762757276276,-79.039150003915
"Pin","7","0",33.765153976515,-79.033444903345
"Tee","7","0",33.765221476522,-79.035234103523
"Pin","8","0",33.767843176784,-79.030556803056
"Target","8","1",33.766733476673,-79.033282903328
"Target","8","2",33.767667676767,-79.031714203171
"Tee","8","0",33.764842576484,-79.032605203261
"Pin","9","0",33.765268276527,-79.028233902823
"Target","9","1",33.765810976581,-79.029205002921
"Tee","9","0",33.767817076782,-79.029746802975
"Pin","10","0",33.760623376062,-79.023218202322
"Target","10","1",33.761458576146,-79.022907702291
"Tee","10","0",33.763573576357,-79.023282102328
"Pin","11","0",33.765337576534,-79.020520002052
"Target","11","1",33.76350247635,-79.020889002089
"Target","11","2",33.764890276489,-79.020685602069
"Tee","11","0",33.761211976121,-79.02060280206
"Pin","12","0",33.763818376382,-79.021656702166
"Tee","12","0",33.765310576531,-79.021085202109
"Pin","13","0",33.758658675866,-79.024143402414
"Target","13","1",33.760533376053,-79.024244202424
"Target","13","2",33.759184275918,-79.024422402442
"Tee","13","0",33.762795076279,-79.023727602373
"Pin","14","0",33.757422975742,-79.023539502354
"Tee","14","0",33.758420175842,-79.023059802306
"Pin","15","0",33.75949927595,-79.025556402556
"Target","15","1",33.758133075813,-79.025163102516
"Tee","15","0",33.756316875632,-79.026092802609
"Pin","16","0",33.759340875934,-79.028185302819
"Target","16","1",33.75939757594,-79.026914502691
"Tee","16","0",33.760689976069,-79.025186502519
"Pin","17","0",33.760754776075,-79.02710440271
"Tee","17","0",33.759760275976,-79.028254602825
"Pin","18","0",33.76249897625,-79.024811202481
"Target","18","1",33.761850076185,-79.024951602495
"Tee","18","0",33.760264276026,-79.026959502696
