"type","hole","numPoint","lat","lon"
"Pin","1","0",33.75729877573,-116.43381894338
"Target","1","1",33.75690367569,-116.43286314329
"Tee","1","0",33.755842575584,-116.43046104305
"Pin","2","0",33.754720275472,-116.43114504311
"Target","2","1",33.755761575576,-116.4320486432
"Tee","2","0",33.756983775698,-116.43409794341
"Pin","3","0",33.751225575123,-116.42734434273
"Target","3","1",33.75269707527,-116.42886444289
"Target","3","2",33.751605375161,-116.42773584277
"Tee","3","0",33.754279275428,-116.43087684309
"Pin","4","0",33.753924675392,-116.42566764257
"Target","4","1",33.753066975307,-116.42592684259
"Tee","4","0",33.750962775096,-116.42705184271
"Pin","5","0",33.754587075459,-116.42187234219
"Target","5","1",33.754508775451,-116.4230396423
"Tee","5","0",33.754209975421,-116.42578554258
"Pin","6","0",33.754416975442,-116.41958184196
"Tee","6","0",33.754531275453,-116.42149434215
"Pin","7","0",33.754785075479,-116.42437794244
"Target","7","1",33.755066775507,-116.42210274221
"Target","7","2",33.755015475502,-116.42393154239
"Tee","7","0",33.754738275474,-116.41936224194
"Pin","8","0",33.754506075451,-116.42533554253
"Tee","8","0",33.755335875534,-116.42430774243
"Pin","9","0",33.754863375486,-116.42926764293
"Target","9","1",33.754449375445,-116.42850264285
"Tee","9","0",33.754370175437,-116.42573514257
"Pin","10","0",33.757369875737,-116.42591424259
"Target","10","1",33.757160175716,-116.42685024269
"Tee","10","0",33.755552775555,-116.42883294288
"Pin","11","0",33.757162875716,-116.42148084215
"Target","11","1",33.757154775715,-116.42222424222
"Tee","11","0",33.757347375735,-116.4249836425
"Pin","12","0",33.756846075685,-116.4180338418
"Target","12","1",33.757052175705,-116.41881054188
"Tee","12","0",33.757077375708,-116.42113434211
"Pin","13","0",33.754434975443,-116.41814634181
"Target","13","1",33.75510367551,-116.41783854178
"Tee","13","0",33.757387875739,-116.41748664175
"Pin","14","0",33.756054075605,-116.41857564186
"Tee","14","0",33.754358475436,-116.41848834185
"Pin","15","0",33.75660487566,-116.42355174236
"Target","15","1",33.756585975659,-116.42108484211
"Target","15","2",33.756591375659,-116.4230135423
"Tee","15","0",33.75640417564,-116.41832364183
"Pin","16","0",33.756018075602,-116.42183724218
"Tee","16","0",33.756272775627,-116.42357514236
"Pin","17","0",33.756885675689,-116.42476404248
"Target","17","1",33.756178275618,-116.42418264242
"Tee","17","0",33.755610375561,-116.42160144216
"Pin","18","0",33.755193675519,-116.42827494283
"Target","18","1",33.755984775598,-116.42759724276
"Tee","18","0",33.757226775723,-116.42526534253
