"type","hole","numPoint","lat","lon"
"Pin","1","0",50.264708926471,-3.860339786034
"Target","1","1",50.264969026497,-3.8607915860792
"Tee","1","0",50.2660049266,-3.8630325863033
"Pin","2","0",50.264773726477,-3.8656020865602
"Target","2","1",50.265050926505,-3.8644833864483
"Tee","2","0",50.265005026501,-3.861589886159
"Pin","3","0",50.264314726431,-3.8675442867544
"Tee","3","0",50.264482126448,-3.8654283865428
"Pin","4","0",50.266256926626,-3.8641863864186
"Target","4","1",50.26580242658,-3.8649414864941
"Tee","4","0",50.264553226455,-3.8678124867812
"Pin","5","0",50.265667426567,-3.8666586866659
"Tee","5","0",50.266620526662,-3.8643573864357
"Pin","6","0",50.266658326666,-3.8662860866286
"Tee","6","0",50.26559722656,-3.8670906867091
"Pin","7","0",50.268058726806,-3.8687889868789
"Target","7","1",50.267743726774,-3.8680842868084
"Tee","7","0",50.26669792667,-3.8650206865021
"Pin","8","0",50.270265527027,-3.873369987337
"Target","8","1",50.26970212697,-3.8717508871751
"Tee","8","0",50.268179326818,-3.8690490869049
"Pin","9","0",50.270246627025,-3.8696574869657
"Target","9","1",50.27070022707,-3.8709588870959
"Tee","9","0",50.270834327083,-3.8745552874555
"Pin","10","0",50.272016027202,-3.8744940874494
"Target","10","1",50.27190262719,-3.8726436872644
"Tee","10","0",50.270879327088,-3.8694891869489
"Pin","11","0",50.273954627395,-3.8776989877699
"Target","11","1",50.273389427339,-3.8769420876942
"Tee","11","0",50.271756827176,-3.8745876874588
"Pin","12","0",50.273587427359,-3.8713962871396
"Target","12","1",50.273365127336,-3.8743113874311
"Target","12","2",50.273533427353,-3.871880487188
"Tee","12","0",50.274256127426,-3.8774226877423
"Pin","13","0",50.273774627377,-3.8681265868127
"Tee","13","0",50.273664827366,-3.8707761870776
"Pin","14","0",50.272557827256,-3.874070187407
"Target","14","1",50.272874627287,-3.87110018711
"Target","14","2",50.272726127273,-3.873469887347
"Tee","14","0",50.273474927347,-3.8676891867689
"Pin","15","0",50.272730627273,-3.8682039868204
"Target","15","1",50.272385927239,-3.8708211870821
"Target","15","2",50.272513727251,-3.8685144868514
"Tee","15","0",50.27229682723,-3.8744211874421
"Pin","16","0",50.270817227082,-3.8690571869057
"Target","16","1",50.271112427111,-3.8672211867221
"Tee","16","0",50.273316527332,-3.867629786763
"Pin","17","0",50.269765126976,-3.8709984870998
"Tee","17","0",50.269543726954,-3.8691885869189
"Pin","18","0",50.267093926709,-3.8650125865013
"Target","18","1",50.268042526804,-3.8675676867568
"Target","18","2",50.267411626741,-3.8656155865616
"Tee","18","0",50.269341226934,-3.8703846870385
