"type","hole","numPoint","lat","lon"
"Pin","1","0",43.162861316286,-76.262814426281
"Target","1","1",43.163346416335,-76.263771126377
"Tee","1","0",43.164661316466,-76.266363126636
"Pin","2","0",43.159174915917,-76.259609525961
"Target","2","1",43.160475416048,-76.261720026172
"Target","2","2",43.159424215942,-76.260211626021
"Tee","2","0",43.162728116273,-76.262371626237
"Pin","3","0",43.161971216197,-76.257747425775
"Target","3","1",43.161391616139,-76.258720325872
"Tee","3","0",43.15909841591,-76.259011025901
"Pin","4","0",43.16049521605,-76.253576825358
"Tee","4","0",43.160957816096,-76.255977125598
"Pin","5","0",43.158851815885,-76.255677425568
"Target","5","1",43.159371115937,-76.254137525414
"Tee","5","0",43.159654615965,-76.2510046251
"Pin","6","0",43.15759631576,-76.251661625166
"Target","6","1",43.157715115772,-76.253184425318
"Tee","6","0",43.158326215833,-76.256285825629
"Pin","7","0",43.158121915812,-76.257452225745
"Target","7","1",43.15709951571,-76.254566825457
"Target","7","2",43.157839315784,-76.256891525689
"Tee","7","0",43.156913215691,-76.251307925131
"Pin","8","0",43.159345015935,-76.261824426182
"Tee","8","0",43.158273115827,-76.259984825998
"Pin","9","0",43.163508416351,-76.265764626576
"Target","9","1",43.162660616266,-76.264078926408
"Tee","9","0",43.160552816055,-76.262809026281
"Pin","10","0",43.163066516307,-76.270514827051
"Target","10","1",43.162949516295,-76.269567126957
"Tee","10","0",43.163741516374,-76.266663726666
"Pin","11","0",43.161982916198,-76.277062327706
"Target","11","1",43.162564316256,-76.273847527385
"Target","11","2",43.162220516222,-76.27639722764
"Tee","11","0",43.162236716224,-76.270609327061
"Pin","12","0",43.164412916441,-76.277831827783
"Target","12","1",43.163262716326,-76.277767027777
"Tee","12","0",43.160984816098,-76.278228727823
"Pin","13","0",43.166693516669,-76.27790472779
"Tee","13","0",43.165026716503,-76.277483527748
"Pin","14","0",43.168753616875,-76.272107827211
"Target","14","1",43.168039016804,-76.275079627508
"Target","14","2",43.16819921682,-76.272664927266
"Tee","14","0",43.167149816715,-76.278052327805
"Pin","15","0",43.169929016993,-76.269769626977
"Target","15","1",43.169423216942,-76.270874827087
"Tee","15","0",43.168806716881,-76.273915927392
"Pin","16","0",43.168039916804,-76.268481726848
"Tee","16","0",43.169715716972,-76.269278226928
"Pin","17","0",43.16630381663,-76.271628127163
"Target","17","1",43.166322716632,-76.269956826996
"Tee","17","0",43.167366716737,-76.267862526786
"Pin","18","0",43.166926616693,-76.267660926766
"Target","18","1",43.165846616585,-76.269029826903
"Tee","18","0",43.165811516581,-76.27229862723
