"type","hole","numPoint","lat","lon"
"Pin","1","0",-36.919836091984,174.68708346871
"Target","1","1",-36.919332091933,174.6870042687
"Tee","1","0",-36.917276491728,174.68706726871
"Pin","2","0",-36.922314692231,174.6869916687
"Target","2","1",-36.921679292168,174.68720046872
"Tee","2","0",-36.919507591951,174.68742636874
"Pin","3","0",-36.925244192524,174.68444916844
"Target","3","1",-36.924460292446,174.68551206855
"Tee","3","0",-36.922806092281,174.68751456875
"Pin","4","0",-36.925908392591,174.68583876858
"Tee","4","0",-36.92539809254,174.6840414684
"Pin","5","0",-36.922951892295,174.68823636882
"Target","5","1",-36.924657392466,174.68676036868
"Target","5","2",-36.923376692338,174.68768916877
"Tee","5","0",-36.92680479268,174.68587296859
"Pin","6","0",-36.919218691922,174.68776476878
"Target","6","1",-36.92030139203,174.68861346886
"Tee","6","0",-36.922389392239,174.6880383688
"Pin","7","0",-36.917620291762,174.68736696874
"Tee","7","0",-36.919132291913,174.68813736881
"Pin","8","0",-36.91940229194,174.68893656889
"Target","8","1",-36.918764191876,174.68884746888
"Tee","8","0",-36.917112691711,174.68731656873
"Pin","9","0",-36.92220309222,174.68861436886
"Target","9","1",-36.921059192106,174.68908236891
"Tee","9","0",-36.918840691884,174.68830926883
"Pin","10","0",-36.92579499258,174.68718516872
"Target","10","1",-36.924969692497,174.68758296876
"Tee","10","0",-36.922846592285,174.68869806887
"Pin","11","0",-36.926727392673,174.68671536867
"Tee","11","0",-36.925657292566,174.68792496879
"Pin","12","0",-36.928864892886,174.68259336826
"Target","12","1",-36.927932492793,174.6839541684
"Tee","12","0",-36.926719292672,174.68640216864
"Pin","13","0",-36.928466192847,174.68733816873
"Target","13","1",-36.928922492892,174.6850035685
"Target","13","2",-36.928352792835,174.68682426868
"Tee","13","0",-36.929180792918,174.68219376822
"Pin","14","0",-36.927642692764,174.68590536859
"Tee","14","0",-36.928270892827,174.68789076879
"Pin","15","0",-36.925739192574,174.6889635689
"Target","15","1",-36.926777792678,174.68830476883
"Tee","15","0",-36.927369092737,174.68578746858
"Pin","16","0",-36.923009492301,174.68991306899
"Target","16","1",-36.923947292395,174.68921106892
"Tee","16","0",-36.926142392614,174.68834076883
"Pin","17","0",-36.918789391879,174.68993196899
"Target","17","1",-36.920282492028,174.68986986899
"Tee","17","0",-36.922584692258,174.68984286898
"Pin","18","0",-36.917193691719,174.68773236877
"Target","18","1",-36.917649091765,174.68872686887
"Tee","18","0",-36.919664191966,174.68962056896
