"type","hole","numPoint","lat","lon"
"Pin","1","0",40.402281140228,116.69635346964
"Target","1","1",40.40149544015,116.69541656954
"Tee","1","0",40.401045440105,116.69245106925
"Pin","2","0",40.403978540398,116.69741816974
"Tee","2","0",40.402269440227,116.69708336971
"Pin","3","0",40.400853740085,116.69829296983
"Target","3","1",40.402291940229,116.69790596979
"Tee","3","0",40.404738140474,116.69832266983
"Pin","4","0",40.39530343953,116.6990273699
"Target","4","1",40.398080839808,116.69853956985
"Target","4","2",40.396158439616,116.69912636991
"Tee","4","0",40.400338940034,116.69869256987
"Pin","5","0",40.394950639495,116.69434466943
"Target","5","1",40.395046939505,116.69532746953
"Tee","5","0",40.394693239469,116.69815076982
"Pin","6","0",40.395146839515,116.69263376926
"Tee","6","0",40.395230539523,116.6940467694
"Pin","7","0",40.395534739553,116.69634536963
"Target","7","1",40.396008139601,116.69575676958
"Tee","7","0",40.395967639597,116.6930036693
"Pin","8","0",40.400939240094,116.69715536972
"Target","8","1",40.398821539882,116.69771606977
"Target","8","2",40.400605340061,116.69732186973
"Tee","8","0",40.396480639648,116.69786096979
"Pin","9","0",40.400014040001,116.69330426933
"Target","9","1",40.400275040028,116.69492156949
"Tee","9","0",40.401746540175,116.69717696972
"Pin","10","0",40.40320454032,116.69642096964
"Target","10","1",40.402738340274,116.69480546948
"Tee","10","0",40.401454040145,116.69223056922
"Pin","11","0",40.406977340698,116.69839466984
"Target","11","1",40.406533640653,116.69758736976
"Tee","11","0",40.40460404046,116.69771876977
"Pin","12","0",40.408805240881,116.69243216924
"Target","12","1",40.40850014085,116.69568296957
"Target","12","2",40.408673840867,116.69331776933
"Tee","12","0",40.407526340753,116.69854226985
"Pin","13","0",40.408933940893,116.68993736899
"Tee","13","0",40.408729640873,116.69181026918
"Pin","14","0",40.405513040551,116.68933166893
"Target","14","1",40.406955740696,116.68885826889
"Tee","14","0",40.409333540933,116.68908776891
"Pin","15","0",40.407836840784,116.68951436895
"Target","15","1",40.40719694072,116.68964576896
"Tee","15","0",40.405265540527,116.69017676902
"Pin","16","0",40.407857540786,116.69329076933
"Tee","16","0",40.408161740816,116.69086346909
"Pin","17","0",40.405130540513,116.69690876969
"Target","17","1",40.406566940657,116.69632826963
"Tee","17","0",40.408147340815,116.6939828694
"Pin","18","0",40.401677240168,116.69146376915
"Target","18","1",40.40320004032,116.69380646938
"Target","18","2",40.402052540205,116.6920415692
"Tee","18","0",40.404335840434,116.69662166966
