"type","hole","numPoint","lat","lon"
"Pin","1","0",32.903060090306,-117.25050872505
"Target","1","1",32.903559590356,-117.24825512483
"Target","1","2",32.903084390308,-117.25007942501
"Tee","1","0",32.904328190433,-117.24567032457
"Pin","2","0",32.904292190429,-117.24823982482
"Target","2","1",32.904242690424,-117.2490435249
"Tee","2","0",32.903332790333,-117.25118462512
"Pin","3","0",32.904809690481,-117.2469600247
"Tee","3","0",32.904791690479,-117.24874382487
"Pin","4","0",32.907676190768,-117.24815072482
"Target","4","1",32.906489090649,-117.24757112476
"Tee","4","0",32.904457790446,-117.24628052463
"Pin","5","0",32.906518790652,-117.25145822515
"Target","5","1",32.907273890727,-117.25056002506
"Tee","5","0",32.908083890808,-117.2479923248
"Pin","6","0",32.905742090574,-117.25263002526
"Tee","6","0",32.907449390745,-117.25242932524
"Pin","7","0",32.90830079083,-117.25313762531
"Target","7","1",32.90730359073,-117.25346702535
"Tee","7","0",32.905149890515,-117.25282352528
"Pin","8","0",32.90860229086,-117.24819122482
"Target","8","1",32.908291790829,-117.24963932496
"Tee","8","0",32.908343090834,-117.25238072524
"Pin","9","0",32.90490239049,-117.24586292459
"Target","9","1",32.906938190694,-117.24686192469
"Target","9","2",32.905257890526,-117.24606272461
"Tee","9","0",32.909074790907,-117.24788252479
"Pin","10","0",32.908169390817,-117.24649112465
"Target","10","1",32.907047090705,-117.24616442462
"Tee","10","0",32.904893390489,-117.24534272453
"Pin","11","0",32.911773891177,-117.24813632481
"Target","11","1",32.910262791026,-117.24727952473
"Tee","11","0",32.907911090791,-117.24681242468
"Pin","12","0",32.911331091133,-117.25028642503
"Tee","12","0",32.912114991212,-117.24816962482
"Pin","13","0",32.914132791413,-117.2479608248
"Target","13","1",32.912586591259,-117.24850262485
"Tee","13","0",32.911416591142,-117.25086512509
"Pin","14","0",32.910513891051,-117.24657662466
"Target","14","1",32.912364291236,-117.24744602474
"Target","14","2",32.910818091082,-117.24678002468
"Tee","14","0",32.914665591467,-117.24736142474
"Pin","15","0",32.914044591404,-117.24682232468
"Target","15","1",32.913111291311,-117.24675302468
"Tee","15","0",32.910854991086,-117.24620762462
"Pin","16","0",32.911308591131,-117.24572612457
"Target","16","1",32.912132991213,-117.2459511246
"Tee","16","0",32.914272291427,-117.24644522464
"Pin","17","0",32.909629190963,-117.24632462463
"Tee","17","0",32.910972891097,-117.24578552458
"Pin","18","0",32.905332590533,-117.2449863245
"Target","18","1",32.907322490732,-117.24526532453
"Target","18","2",32.905662890566,-117.24491342449
"Tee","18","0",32.90929529093,-117.24658202466
