"type","hole","numPoint","lat","lon"
"Pin","1","0",37.723225672323,-122.49082044908
"Target","1","1",37.724238172424,-122.49141174914
"Tee","1","0",37.726084072608,-122.49315144932
"Pin","2","0",37.720775872078,-122.48807994881
"Target","2","1",37.721861272186,-122.48881434888
"Tee","2","0",37.723625272363,-122.49068634907
"Pin","3","0",37.719333171933,-122.4879566488
"Tee","3","0",37.720779472078,-122.48862174886
"Pin","4","0",37.723079872308,-122.48707644871
"Target","4","1",37.720484272048,-122.48641044864
"Target","4","2",37.722441772244,-122.48672634867
"Tee","4","0",37.71840347184,-122.48777394878
"Pin","5","0",37.72059677206,-122.48710164871
"Target","5","1",37.721490472149,-122.48733654873
"Tee","5","0",37.723792672379,-122.48733114873
"Pin","6","0",37.723240072324,-122.48951184895
"Target","6","1",37.722237472224,-122.48824734882
"Tee","6","0",37.720024372002,-122.48727264873
"Pin","7","0",37.720541872054,-122.48905104891
"Target","7","1",37.721287972129,-122.48932104893
"Tee","7","0",37.72289897229,-122.49076194908
"Pin","8","0",37.721235772124,-122.49055224906
"Tee","8","0",37.720072972007,-122.48907714891
"Pin","9","0",37.724869972487,-122.49290214929
"Target","9","1",37.723258972326,-122.49179514918
"Target","9","2",37.724547772455,-122.49271404927
"Tee","9","0",37.721384272138,-122.490015849
"Pin","10","0",37.726209172621,-122.4870386487
"Target","10","1",37.7259994726,-122.48987364899
"Target","10","2",37.726030072603,-122.48763894876
"Tee","10","0",37.726109272611,-122.49278154928
"Pin","11","0",37.725407272541,-122.48511624851
"Tee","11","0",37.726374772637,-122.48678934868
"Pin","12","0",37.721154772115,-122.48582544858
"Target","12","1",37.722925972293,-122.48582814858
"Target","12","2",37.72140407214,-122.48584974858
"Tee","12","0",37.725122872512,-122.4849578485
"Pin","13","0",37.717768971777,-122.48714934871
"Target","13","1",37.718852571885,-122.48642484864
"Tee","13","0",37.7210044721,-122.48538984854
"Pin","14","0",37.72020257202,-122.49036504904
"Target","14","1",37.719040671904,-122.48919234892
"Tee","14","0",37.717318971732,-122.48710614871
"Pin","15","0",37.722581272258,-122.49369864937
"Target","15","1",37.72219787222,-122.49251514925
"Tee","15","0",37.720429372043,-122.49065214907
"Pin","16","0",37.723424572342,-122.49686754969
"Target","16","1",37.722952072295,-122.49624204962
"Tee","16","0",37.722208672221,-122.49376344938
"Pin","17","0",37.724608072461,-122.49822204982
"Tee","17","0",37.723536172354,-122.49712134971
"Pin","18","0",37.72580147258,-122.49370404937
"Target","18","1",37.724725972473,-122.4949568495
"Tee","18","0",37.725038272504,-122.49789354979
