"type","hole","numPoint","lat","lon"
"Pin","1","0",40.331228833123,-74.695414769541
"Target","1","1",40.332048733205,-74.694725369473
"Tee","1","0",40.333019833302,-74.692046069205
"Pin","2","0",40.333122433312,-74.695070969507
"Tee","2","0",40.331934433193,-74.69530226953
"Pin","3","0",40.337851933785,-74.696530769653
"Target","3","1",40.336158133616,-74.695571369557
"Target","3","2",40.33730023373,-74.696719769672
"Tee","3","0",40.333850533385,-74.695036769504
"Pin","4","0",40.335948433595,-74.696249069625
"Target","4","1",40.336527133653,-74.696814269681
"Tee","4","0",40.33829743383,-74.698184969819
"Pin","5","0",40.338429733843,-74.69880236988
"Target","5","1",40.337637733764,-74.698464869846
"Tee","5","0",40.33569823357,-74.696835869684
"Pin","6","0",40.33989763399,-74.702160270216
"Target","6","1",40.339140733914,-74.700770670077
"Tee","6","0",40.338643033864,-74.697710669771
"Pin","7","0",40.339274833927,-74.697689069769
"Target","7","1",40.339844533984,-74.700875970088
"Target","7","2",40.339340533934,-74.698373069837
"Tee","7","0",40.341339434134,-74.703383370338
"Pin","8","0",40.338550333855,-74.696157269616
"Tee","8","0",40.3390003339,-74.698193069819
"Pin","9","0",40.336021333602,-74.692005569201
"Target","9","1",40.336565833657,-74.693616569362
"Tee","9","0",40.338022933802,-74.696093369609
"Pin","10","0",40.332008233201,-74.687971768797
"Target","10","1",40.333035133304,-74.688717868872
"Tee","10","0",40.334993533499,-74.69050346905
"Pin","11","0",40.332654433265,-74.689562068956
"Tee","11","0",40.331317033132,-74.688440668844
"Pin","12","0",40.329582732958,-74.692624769262
"Target","12","1",40.331379133138,-74.691269369127
"Target","12","2",40.329913032991,-74.692360169236
"Tee","12","0",40.333414933342,-74.689639468964
"Pin","13","0",40.33210003321,-74.689969768997
"Target","13","1",40.330887733089,-74.69069966907
"Tee","13","0",40.328887932889,-74.69230346923
"Pin","14","0",40.328254332825,-74.692136969214
"Target","14","1",40.329136332914,-74.691044369104
"Tee","14","0",40.331288233129,-74.689827568983
"Pin","15","0",40.330045333005,-74.696157269616
"Target","15","1",40.330020133002,-74.694514769451
"Tee","15","0",40.328374932838,-74.692479869248
"Pin","16","0",40.33219993322,-74.693086469309
"Target","16","1",40.331648233165,-74.693662469366
"Tee","16","0",40.330509733051,-74.695642469564
"Pin","17","0",40.33060153306,-74.694081869408
"Tee","17","0",40.331868733187,-74.692577069258
"Pin","18","0",40.334040433404,-74.69070506907
"Target","18","1",40.332133333213,-74.691638369164
"Target","18","2",40.333331233333,-74.690593469059
"Tee","18","0",40.330147033015,-74.693370869337
