"type","hole","numPoint","lat","lon"
"Pin","1","0",33.643587364359,-111.91175949118
"Target","1","1",33.642627064263,-111.91093509109
"Tee","1","0",33.640537264054,-111.910035091
"Pin","2","0",33.640345564035,-111.91061379106
"Target","2","1",33.641667664167,-111.91138149114
"Tee","2","0",33.643759264376,-111.91227699123
"Pin","3","0",33.641736064174,-111.91661139166
"Target","3","1",33.640974664097,-111.91414089141
"Target","3","2",33.64140306414,-111.91620099162
"Tee","3","0",33.640680364068,-111.91129779113
"Pin","4","0",33.643392964339,-111.91756899176
"Tee","4","0",33.64189536419,-111.91713969171
"Pin","5","0",33.642058264206,-111.9209970921
"Target","5","1",33.642885364289,-111.91943649194
"Tee","5","0",33.644016664402,-111.9169704917
"Pin","6","0",33.640119664012,-111.91822059182
"Target","6","1",33.64050036405,-111.91979379198
"Tee","6","0",33.642114064211,-111.92169729217
"Pin","7","0",33.642013264201,-111.91909539191
"Tee","7","0",33.640561564056,-111.91779669178
"Pin","8","0",33.640041364004,-111.91534509153
"Target","8","1",33.640778464078,-111.9170172917
"Tee","8","0",33.642591964259,-111.91887759189
"Pin","9","0",33.63979836398,-111.9110187911
"Target","9","1",33.640156564016,-111.91264149126
"Tee","9","0",33.640591264059,-111.91545849155
"Pin","10","0",33.637509663751,-111.91236789124
"Target","10","1",33.637614063761,-111.91090179109
"Tee","10","0",33.639442863944,-111.90922239092
"Pin","11","0",33.639774063977,-111.91666539167
"Target","11","1",33.638810163881,-111.91525509153
"Tee","11","0",33.637911063791,-111.91260189126
"Pin","12","0",33.638880363888,-111.91856439186
"Tee","12","0",33.640079164008,-111.91726569173
"Pin","13","0",33.642308464231,-111.92283129228
"Target","13","1",33.640581364058,-111.92114289211
"Target","13","2",33.641909764191,-111.92213199221
"Tee","13","0",33.639032463903,-111.9190305919
"Pin","14","0",33.638907363891,-111.92036889204
"Target","14","1",33.639758763976,-111.92211939221
"Tee","14","0",33.641814364181,-111.92357199236
"Pin","15","0",33.638085663809,-111.91480869148
"Target","15","1",33.638208063821,-111.91744659174
"Target","15","2",33.638153163815,-111.91562049156
"Tee","15","0",33.638590563859,-111.92032389203
"Pin","16","0",33.637473663747,-111.91317789132
"Tee","16","0",33.637306263731,-111.91480599148
"Pin","17","0",33.636908463691,-111.909999991
"Target","17","1",33.636848163685,-111.91086579109
"Tee","17","0",33.636982263698,-111.91328049133
"Pin","18","0",33.639691263969,-111.90861849086
"Target","18","1",33.638325963833,-111.90847719085
"Tee","18","0",33.636111063611,-111.90923499092
