"type","hole","numPoint","lat","lon"
"Pin","1","0",30.607566660757,-96.384529538453
"Target","1","1",30.608823960882,-96.384656438466
"Tee","1","0",30.609693360969,-96.386978438698
"Pin","2","0",30.607384860738,-96.385534838553
"Tee","2","0",30.606306660631,-96.383861738386
"Pin","3","0",30.606772860677,-96.391921239192
"Target","3","1",30.606691860669,-96.390486639049
"Tee","3","0",30.605613660561,-96.388123238812
"Pin","4","0",30.61019826102,-96.393286539329
"Target","4","1",30.609685260969,-96.392305539231
"Tee","4","0",30.607389360739,-96.392109339211
"Pin","5","0",30.609270360927,-96.399565839957
"Target","5","1",30.609035460904,-96.397143939714
"Target","5","2",30.609053460905,-96.398862939886
"Tee","5","0",30.609988560999,-96.394708539471
"Pin","6","0",30.61030266103,-96.396317739632
"Target","6","1",30.609937260994,-96.397354539735
"Tee","6","0",30.609858960986,-96.39959823996
"Pin","7","0",30.612791161279,-96.396236739624
"Tee","7","0",30.611163061116,-96.396354639636
"Pin","8","0",30.613326661333,-96.390754839076
"Target","8","1",30.612367261237,-96.393254139325
"Target","8","2",30.613027861303,-96.39129753913
"Tee","8","0",30.612887461289,-96.395910039591
"Pin","9","0",30.610339561034,-96.387093638709
"Target","9","1",30.611217061122,-96.388190738819
"Tee","9","0",30.612711961271,-96.390287739029
"Pin","10","0",30.61260396126,-96.382069838207
"Target","10","1",30.611246761125,-96.384132638413
"Target","10","2",30.61249776125,-96.382614338261
"Tee","10","0",30.610389961039,-96.386615738662
"Pin","11","0",30.614025961403,-96.384317138432
"Tee","11","0",30.613580461358,-96.382638638264
"Pin","12","0",30.616082461608,-96.387917138792
"Target","12","1",30.615161761516,-96.387014438702
"Tee","12","0",30.614533561453,-96.384440438444
"Pin","13","0",30.616290361629,-96.391417239142
"Target","13","1",30.615618961562,-96.390621639062
"Tee","13","0",30.616759261676,-96.388407638841
"Pin","14","0",30.619559161956,-96.394164039416
"Target","14","1",30.618491761849,-96.393855339386
"Tee","14","0",30.617058961706,-96.391822239182
"Pin","15","0",30.615141061514,-96.39430353943
"Target","15","1",30.616790761679,-96.395967639597
"Target","15","2",30.615244561524,-96.394875939488
"Tee","15","0",30.6190002619,-96.395059539506
"Pin","16","0",30.613719061372,-96.39490383949
"Tee","16","0",30.614210461421,-96.393157839316
"Pin","17","0",30.613582261358,-96.390730539073
"Target","17","1",30.613630861363,-96.392114739212
"Tee","17","0",30.613083661308,-96.394713939471
"Pin","18","0",30.609963360996,-96.387386138739
"Target","18","1",30.610590661059,-96.38879733888
"Tee","18","0",30.61240056124,-96.390451539045
