"type","hole","numPoint","lat","lon"
"Pin","1","0",55.543441654344,-4.6458220645822
"Target","1","1",55.542834154283,-4.6483321648332
"Tee","1","0",55.542315754232,-4.6522966652297
"Pin","2","0",55.539208953921,-4.6418125641813
"Target","2","1",55.540714654071,-4.6429789642979
"Target","2","2",55.539509553951,-4.6420456642046
"Tee","2","0",55.542743254274,-4.6449049644905
"Pin","3","0",55.535215653522,-4.639489663949
"Target","3","1",55.53679605368,-4.6408432640843
"Target","3","2",55.53549825355,-4.6397443639744
"Tee","3","0",55.538979453898,-4.6415542641554
"Pin","4","0",55.532611953261,-4.6373863637386
"Target","4","1",55.533065553307,-4.6379470637947
"Tee","4","0",55.534651353465,-4.6394869639487
"Pin","5","0",55.529488052949,-4.6349617634962
"Target","5","1",55.530594153059,-4.6358473635847
"Tee","5","0",55.532516553252,-4.6380865638087
"Pin","6","0",55.528449452845,-4.6328377632838
"Tee","6","0",55.529324252932,-4.6352164635216
"Pin","7","0",55.532025153203,-4.635930163593
"Target","7","1",55.530505053051,-4.6343470634347
"Target","7","2",55.531754253175,-4.635750163575
"Tee","7","0",55.528507952851,-4.6323247632325
"Pin","8","0",55.534844853484,-4.6383844638384
"Target","8","1",55.534438953444,-4.6379488637949
"Tee","8","0",55.532525553253,-4.6362622636262
"Pin","9","0",55.537212753721,-4.6337440633744
"Target","9","1",55.536590853659,-4.6355773635577
"Tee","9","0",55.535248953525,-4.6388830638883
"Pin","10","0",55.538552853855,-4.6328053632805
"Tee","10","0",55.536977853698,-4.6334326633433
"Pin","11","0",55.536467553647,-4.6270012627001
"Target","11","1",55.537288353729,-4.6280650628065
"Tee","11","0",55.538832753883,-4.6310836631084
"Pin","12","0",55.536551253655,-4.6317325631733
"Target","12","1",55.536245253625,-4.6300207630021
"Tee","12","0",55.535383953538,-4.6262470626247
"Pin","13","0",55.536414453641,-4.6278355627836
"Target","13","1",55.536589053659,-4.6286887628689
"Tee","13","0",55.537047153705,-4.6321564632156
"Pin","14","0",55.538209053821,-4.6318288631829
"Target","14","1",55.538049753805,-4.6305832630583
"Tee","14","0",55.53690315369,-4.6283017628302
"Pin","15","0",55.540386154039,-4.6322851632285
"Tee","15","0",55.538465553847,-4.6318936631894
"Pin","16","0",55.541168254117,-4.6389613638961
"Target","16","1",55.540520254052,-4.6362982636298
"Target","16","2",55.5410035541,-4.6386931638693
"Tee","16","0",55.540688554069,-4.6322392632239
"Pin","17","0",55.543042054304,-4.6436575643658
"Target","17","1",55.542642454264,-4.6426927642693
"Tee","17","0",55.541511154151,-4.6392322639232
"Pin","18","0",55.542608254261,-4.6524631652463
"Target","18","1",55.54310235431,-4.6494040649404
"Target","18","2",55.54269645427,-4.651919565192
"Tee","18","0",55.54389975439,-4.6455862645586
