"type","hole","numPoint","lat","lon"
"Pin","1","0",33.74660047466,-111.86540588654
"Target","1","1",33.746488874649,-111.86381288638
"Tee","1","0",33.746641874664,-111.8610498861
"Pin","2","0",33.74830147483,-111.86574248657
"Tee","2","0",33.74690377469,-111.8660106866
"Pin","3","0",33.749038574904,-111.8709660871
"Target","3","1",33.747774974777,-111.86859458686
"Target","3","2",33.748755974876,-111.87030368703
"Tee","3","0",33.748765874877,-111.86626088663
"Pin","4","0",33.749120474912,-111.87481448748
"Target","4","1",33.748949474895,-111.87352838735
"Tee","4","0",33.748181774818,-111.87091748709
"Pin","5","0",33.744830174483,-111.87660908766
"Target","5","1",33.746312474631,-111.87623018762
"Tee","5","0",33.748483274848,-111.87530588753
"Pin","6","0",33.74509927451,-111.87293438729
"Target","6","1",33.744988574499,-111.87375698738
"Tee","6","0",33.744327974433,-111.87572888757
"Pin","7","0",33.7460010746,-111.87042608704
"Tee","7","0",33.745278374528,-111.87229628723
"Pin","8","0",33.743643074364,-111.8659575866
"Target","8","1",33.744316274432,-111.86694128669
"Tee","8","0",33.745393574539,-111.86933258693
"Pin","9","0",33.745385474539,-111.86059628606
"Target","9","1",33.74490217449,-111.86294798629
"Target","9","2",33.745426874543,-111.86107328611
"Tee","9","0",33.744459374446,-111.86566598657
"Pin","10","0",33.744534974454,-111.85472738547
"Target","10","1",33.744405374441,-111.85581278558
"Tee","10","0",33.744183074418,-111.85856858586
"Pin","11","0",33.743380274338,-111.84908978491
"Target","11","1",33.744051674405,-111.85116338512
"Target","11","2",33.743293874329,-111.84946418495
"Tee","11","0",33.744847274485,-111.85376168538
"Pin","12","0",33.741787274179,-111.85119488512
"Target","12","1",33.741813374181,-111.84982688498
"Tee","12","0",33.742340774234,-111.84713138471
"Pin","13","0",33.741053774105,-111.84826628483
"Tee","13","0",33.741194174119,-111.85039838504
"Pin","14","0",33.738343873834,-111.85263578526
"Target","14","1",33.739751473975,-111.85039208504
"Target","14","2",33.738735373874,-111.85242698524
"Tee","14","0",33.740547074055,-111.84779378478
"Pin","15","0",33.739831573983,-111.85382108538
"Target","15","1",33.739368973937,-111.85360058536
"Tee","15","0",33.73739617374,-111.85366268537
"Pin","16","0",33.742182374218,-111.85606028561
"Tee","16","0",33.741136574114,-111.85410818541
"Pin","17","0",33.741658574166,-111.86143868614
"Target","17","1",33.74169547417,-111.85934888593
"Tee","17","0",33.74140207414,-111.85660208566
"Pin","18","0",33.743732174373,-111.86013188601
"Target","18","1",33.743141774314,-111.86092388609
"Tee","18","0",33.741591074159,-111.86262128626
